stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,xanthophores
  7-9,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0,0,0,21.88,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.77,7.83,0,14.61,88.88,0,0,0,0,0
 14-21,0,0,4.7,0,0,0,0,0,0,0,0,0,2.67,0,0,0,5.12,0,0,0,212.75,0,2.72,3.17,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.27,19.08,0,2.81,0,12.44,0,0,0,437.79,0,0,0,0,0
 36-46,0,0,0.65,0,0,0.63,0,1.42,0,0,0,0,4.89,0,0.58,0,22.62,0,0,0,511.79,0,0,3.06,0,0
 48-58,0,0,4.13,0,0,5.87,0,1.45,0,0,0,0,1.64,0,1.17,0,6.62,0,0,0,275.57,0.89,0,3.97,0,4.1
 60-70,0,0,15.91,0,0,2.46,0,2.75,0.84,0,0,2.32,0.68,1.13,1.85,0,5.74,0,0.77,0,381.23,10.69,0,0,3.21,0
 72-82,0,0,28.6,4.7,0,21.15,0,0.96,0,0,1.01,0.71,0.8,1.92,5.39,0,9.85,0,0,0,272.65,3.45,0,0,1.21,0
 84-94,0,0,63.52,0,0,12.61,0,5.5,0,3.62,0.75,8.34,10.47,4.57,14.52,1,7.87,0,0,0,719.59,27.1,0,0,0.64,3.19
 96-106,0,1.07,79,2.12,4.69,21.93,0,4.37,0,3.25,4.52,3.52,14.3,6.31,12.48,0,21.49,0,0.75,0,721.06,21.63,0,0,0,0
108-118,0,0,68.56,0.83,1.27,12.19,0.44,8.81,0,2.48,12.81,10.42,14.88,6.3,7.57,1.33,26.17,0,6.35,0,568.17,18.85,0,0,0.51,2.47
120,0,0,77.96,0,1.78,8.7,0,11.91,0,0,26.4,4.95,16.56,4.11,4.57,0,20.47,0,0,0,367.35,13.19,0,0,0,0
