stage,axial,blastomeres,epidermis,eye,glial,immune,ionocyte,liver,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,144.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.31,66.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.24,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,11.62,0,0,0,0,0,54.31,0,0,10.99,0,0,6.24,0,0,0
 14-21,0,0,2.68,1.99,0,0,0,0,0,7.73,0,0,0,0,0.91,0,0.99,0.85,0
 24-34,0,0,0,0,1.11,0,0,0,0,8.33,0.79,0,0,1.18,0,0,1.6,3.79,0
 36-46,0,0,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.43,0,0,0,0,0,2.69,0,3.99,0,0,0,0,0,1.63,0
 60-70,0,0,0,0.69,1.59,0,0.6,0,1.95,2.96,0,0,0,2.63,0,0,0,0,0
 72-82,0,0,0.63,0,1.24,0,0,0,0,2.91,0,0,0,1.97,0,0,0,0,0.72
 84-94,0,0,0,1.4,0,0,0,0,1.37,1,0.79,0,0,1.15,0,0,0,0,0
108-118,0,0,0,0,0,3.85,0.77,0.48,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06,0,0,0,0,0
