stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,324.71,6968.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.47,0,0,0,0,0,0,0,0,0,0
  5-6,165.9,1707.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.36,0,0,0,22.53,34.75,0,0,0,0,0,0,0,0,0,0
  7-9,0,14.95,3.29,0,0,0,24.83,0,0,0,0,5.62,0,0,0,0,0,0,0,0,0,192.92,11.9,0,0,31.23,4.29,20.43,0,0,0,0,0,0,0,0,0
 10-12,0,16.97,15.25,0,0,0,46.59,0,0,0,0,12.37,0,0,0,0,0,0,0,0,0,347.39,8.68,0,0,46.88,0,6.03,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,51.53,1.88,0,15.39,0,0,0.91,1.58,3.53,0,0,0,0,0,0,1.02,0,0.87,160,3.81,0,0,4.72,1.31,2.11,9.5,4.18,6.11,48.95,0,0,0,0,0
 24-34,0,0,1.57,8.91,0,0,5.65,0.8,0,3.82,3.99,0,0,0,0,0,2.72,0,1.89,0,0.88,138.88,0,6.52,0,0,0,0,0,0,0,20.54,0,0,0,0,0
 36-46,0,0,0,3.03,0,0,5.99,0,0,1.96,1.91,0,0,0,0,0,0.66,1.29,10.01,0,0,78.09,0,3.04,0,0,3.14,0.91,0,0,0,6.05,0,0,0.96,0,0
 48-58,0,0,0.91,1.38,0,0,6.79,0,0.44,17.15,0.87,0,0,0,0,0,0.48,0,33.13,0.39,2.3,45.47,0,0.46,1.98,0,1.05,0,0,0,0,8.35,0,0,0.71,0,0
 60-70,0,0,0,2.84,0,0,14.12,0.65,0.64,18.65,2.17,0,0.75,0,0,0,0,4.39,52.1,0.62,0,58.51,0,0,6.21,0,1.73,0,0,0,0,4.33,0,1,0,0,0
 72-82,0,0,0,7.88,0,0,7.44,0.7,0,6.83,2.92,0,0,0,0.53,2.65,0.6,0,57.48,0,3.12,56.53,0,0.53,0,0,1.98,0,0,0,0,6.26,2.68,2.03,0,0,5.01
 84-94,0,0,0,10.33,0,1.89,19.62,0.71,0.83,10.52,4.31,0,0,0,4.2,0,0,23.41,67.28,0,3.09,27.88,0,0,0.94,0,3.07,0,0,0,0,0,0,0,3.71,3.52,0
 96-106,0,0,0,18.73,2.85,0,12.08,2.33,0,3.81,2.65,0,0.72,0,2.88,0,3.56,0,38.56,0,2.6,40.7,0,2.21,0,0,7.85,1.78,0,0,0,4.23,0,1.89,1.57,1.98,0
108-118,0,0,0.74,9.14,0,3.4,9.78,3.91,0,9.17,2.8,0,0.43,0,4.23,0,0.5,1.52,32.1,2.51,4.09,51.24,0,0.46,0.87,0,3.26,1.69,0,0,0,0,0.41,0.5,5.36,0,0
120,0,0,0,7.3,0,0,24.08,6.93,0,5.56,0,0,0,1.68,2.26,0,0,0,20.85,0,0,48.47,0,1.09,0,0,0,0,0,0,0,0,0,0,1.3,0,0
