stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,25.87,0,0,0,0,8.59,0,0,0,0,0,3.78,0,0,0,0,0,0,0,0,0,0,0,311.73,0,0,0,275.55,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,136.17,0,117.93,0,5.97,7.2,0,0,0,0,0,5.87,0,0,0,0,0,0,0,0,0,0,0,1894.96,30.47,0,0,945.2,0,0,0,0,84.26,0,0,19.74,0,0,0,0,0
 14-21,0,0,176.02,579.51,17.36,9.88,0,0,0,127.95,5.31,2.24,0,0,5.2,0,0,4.37,0,485.76,0,0,373.99,2319.88,38.6,0,0,33.76,0,5.53,9.99,157.84,50.32,0,87.28,1922.94,0,0,6.42,0,0
 24-34,0,0,35.19,76.6,10.25,13.35,0,0.68,1.41,113.46,0.73,1.11,0,0,0,3.74,6.66,15.41,2.39,233.84,0,4.06,180.3,3789.65,4.03,1.58,1.36,0,0,17.18,0,1.1,22.3,0,11.26,2180.83,0,0,52.58,0,0
 36-46,0,1.35,2,76.06,0,53.54,1.83,0.56,10.45,72.8,5.57,0,0,0,2.77,0.6,52.32,1.6,0.89,323.39,1.35,15.91,177.15,6049.81,4.25,0,0.65,0,2.1,3.71,1.98,0,3.78,0.78,0,3953.67,0,0,11.35,0,6.92
 48-58,0,0,2.29,47.33,1.78,235.7,0.56,4.08,3.11,138.38,2.14,0,1.52,2.31,0,0.51,29.41,0,0,324.56,0.53,26.37,140.09,8046.64,0,8.53,1.04,0,4.77,2.45,0,0,1.47,0.67,0,2424.54,0,2.6,10.55,0,25.54
 60-70,0,0,0,30.42,0,200.66,3.9,0,3.38,76.54,6.23,0,2.37,0,1.85,0.84,15.64,0.81,6.35,257.76,0,15.71,90.28,9999.23,3.97,0,0,0,2.69,0.63,0,0,0.59,0,0,1320.18,0,43.1,5.97,7.49,22.16
 72-82,0,2.66,0,34.09,3.98,284.26,11.63,0.56,5.87,104.22,10.45,0,1.42,0.76,0.76,0.6,7.84,10.62,1.81,334.77,0.83,21.38,85.9,5495.19,0,0.68,0.84,0,3.93,3.59,0,0,0,0,0,792.31,1.21,10.72,6.95,4.95,25.1
 84-94,0,2.61,0,39.27,3.12,200.64,10.27,1.16,7.23,86.34,6.36,0,0,0,11.28,8.23,2.61,0,3.13,328.65,0,18.69,50.41,3767.09,0.6,0.83,1.22,0,0,5.29,0,0,0,0.62,0,331.48,1.38,31.53,4.74,10.1,16.18
 96-106,0,3.14,0,19.43,1.47,114.91,8.68,0,0,76.31,5.19,0,0,2.89,2.94,2.3,0.6,1.19,0,233.03,1.61,15.12,36.77,1946.65,0.65,2.29,3.64,0,8.73,5.57,0,0,0,1.98,0,158.95,1.73,35.54,13.16,13.18,0.9
108-118,0,1.79,0,54.2,2.18,41.86,1.64,0,0.64,51.93,0.68,0,3.33,2.71,2.08,4.72,3.92,0,0,269.09,0,17.23,24.95,2533.07,1.15,0,1.86,0,2.52,3.73,0,0,0.85,0,0,134.43,2.03,17.04,2.75,0.79,2.67
120,0,0,0,8.38,2.42,110.29,10.09,2.22,2.28,102.1,0,0,0,2.85,0,13.27,0,2.7,0,258.48,1.15,30.5,41.33,2535.91,1.25,7.23,0,0,0,4.2,0,0,0,1.37,0,207.8,0,16.16,11.59,0,4.83
