stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,somites,spinal_cord,taste,vasculature
  3-4,16.65,300.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.4,189.42,0,0,0,0,0,0,0,0,0,10.72,0,0,13.26,0,0,0,0,0,0,0
  7-9,6.36,7.66,11.46,0,0,5.07,0,0,0,0,58.34,0,0,0,26.95,0,0,0,0,0,0,0
 10-12,0,5.81,6.79,0,0,3.52,0,0,0,0,51.64,0,0,0,31.63,0,0,5.95,5.88,0,0,0
 14-21,0,0,0,1.38,0,0,0,0,0,0,1.49,0,0,0,0,0,0,0,1.7,1.07,0,0
 24-34,0,0,0,6.78,0,2.28,0,0,0,0,16.64,0,0,0,0,0,0,0,0,5.2,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,11.84,0,0,0,0,0,0,0,0,1.41,0,0
 48-58,0,0,0,3.09,0,1.03,0,0.6,0,0.98,12.06,0,0,2.29,0,0,0,0,0,2.31,0,0
 60-70,0,0,0,0,0,1.4,0,0,1.29,3.08,0.88,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.62,0,4.53,0,2.56,0,1.82,16.38,0,0.55,4,0,0,0,0,0,0,0.87,0
 84-94,0,0,0,0,0,0.92,1.01,1.16,0,0,5,0,0,0,0,0,0,0,0,0.77,0,2.13
 96-106,0,0,0,0,0,0.75,0,0,0,4.97,7.07,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.67,0,0,0,2.24,6.24,0,0,0,0,2.06,0.6,0,0,0,0,0
120,0,0,0,0,2.94,0,0,0,0,0,6.71,0,0,0,0,0,0,0,0,0,0,0
