stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,116.03,2106.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.63,0,0,0,0,0,0,0
  5-6,106.83,1630.3,0,0,0,0,0,0,0,0,0,0,0,0,49.07,6.07,0,6.56,59.52,0,0,0,0,0,0,0
  7-9,3.58,0,4.16,0,33.42,0,0,0,23.77,0,0,0,0,0,370.67,0,0,52.56,0,0,0,0,0,0,0,0
 10-12,0,5.93,0,0,3.39,0,0,0,0,0,0,0,0,0,54.22,8.68,0,14.64,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.63,0,0,0,0,0,0,0,0,0,38.09,0,0,1.03,0,0,1.5,2.81,6.59,0,0,0
 24-34,0,0,0,0.62,0,0,0.87,0,0,1.23,0,0.78,0,0,10.64,0,0,0,0,0,0,0.61,0.99,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,2.78,0,0,4.93,0,0,0,0,0,0,0,1.33,0,0,0
 48-58,0,0,0,0,1.58,0,0.61,0,0,0,0,2.21,0,0.82,2.64,0,0,0,0,0,0,0,1.35,0,0,0
 60-70,0,0,0,0,1.73,0,1.57,0,0,0,0,8.94,0,0.56,4.83,0,0,0,0,0,0,0,2.92,0,0,0
 72-82,0,0,0,0,8.58,2.43,5,0,0,0,0,56.43,0,0.54,4.64,0,0,0,0,0,0,0,2.86,0,0,0
 84-94,0,0,0,0,2.27,1.85,5.17,0,0,0,0,41.88,0,2.03,0,0,0,0,0.74,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.69,1.71,1.46,0,0,0,0,32.61,1.67,2.01,1.36,0,0,0,1.27,0,0,0,0,0,0.82,2.74
108-118,0,0,0,0,6.51,0,4.01,0.61,0,0.86,1.81,44.61,0,0.68,6.53,0,0.47,0,0.42,0.43,0,0,0,1.44,0.7,2.36
120,0,0,0,0,10.25,0,1.07,0,0,0,0,68.6,0,0,5.82,0,0,0,0,0,0,0,0,0,0,0
