stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.31,11.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,50.8,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,0,3.46,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,7.16,0,0,0,0,0,0,0,85.09,0,0,0,0,0,0,0,0,0,0,0,33.65,0,0,0,5.69,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.36,283.24,0,0,0,0,0,0,0,1.88,1.71,5.86,0,0,0,0,5.87,0,0,0,0,0,12.29,0,0,0,0,0,0,2.88,2.58,0,0.88,0,0,0,0,0
 24-34,0,0,0.65,3.6,318.68,0.6,0,18.42,0,0,0,0,1.88,1.52,0.94,0,7.99,0,0,29.75,0,4.82,8.21,0,1.91,41.16,0,0,7.07,0,0,6.67,0,23.95,0,6.24,0,0,0,0,0
 36-46,0,0,0,0,211.91,0,0,109.53,0,9.22,1.09,2.66,1.44,0,1.93,0,2.68,0,0,26.34,0,2.43,2.32,0.56,0.62,78.26,0,1.25,4.87,0,0,7.68,2.14,27.35,0,5.66,0,0,0,0,0
 48-58,0,0,0.54,0,155.97,0,0,934.01,0,12.32,3.49,4.78,0,0,1.08,0,10.67,0,0,28.67,0,16.62,0.93,11.18,1.95,79.99,0,3.06,27.04,0,0,1.73,0,10.06,0,11.74,0,0,0.44,0,0
 60-70,0,0,0,0,151.08,0,0,6907.04,0,20.91,5.49,15.81,6.1,0,0.58,4.3,17.65,0,0,28.52,0,51.98,6.13,9.95,1.87,140.36,0,0,49.33,0,1.08,0.59,0,16.34,0,11.72,0,0.71,0,0,0
 72-82,0,0,0.97,0,98.41,0.84,1.16,11752.95,1.07,6.85,21.13,109.82,11.08,0,0.66,5.89,22.69,0,0.89,37.04,0,73.63,1.61,11.28,5,479.79,0.57,0.79,82.86,0,1.74,3.36,0,3.69,0,20.31,0.5,5.6,0.83,4.97,11.53
 84-94,0,0,0,0,104.63,5.41,3.84,6797.11,0.56,30.98,7.4,146.19,13.6,0,5.55,0.74,38.77,2.3,0.65,23.23,0,66.2,1.47,6.72,0.7,305.97,0,4.2,97.68,0,0.79,13.44,0,22.88,0,20.2,0,0.64,2.09,3.62,0
 96-106,0,0,0.99,0,64.67,1.45,2.83,8147.57,0,6.16,3.77,89.41,15.27,0,4.76,4.43,40.19,0.81,0.84,24.8,11.15,48.26,1.27,8.1,8.06,303.62,0,3.12,123.96,0,0,8.04,0,15.86,0.68,6.47,5.57,1.64,1.52,0,10.4
108-118,0,0,0,0,102.6,0.87,28.26,5205.73,1.82,10.43,8.25,61.19,10.09,0,0.99,3.76,29.98,0,1.51,29.98,0,69.93,0,8.21,9.49,343.92,0,2.17,119.74,0,0,4.03,0,20.91,0,0.47,6.84,2.46,1.77,6.47,0
120,0,0,2.94,0,122.94,0,5.15,3194.97,1.99,43.2,13.56,223.49,22.23,0,0,0,13.47,0,1.88,51.69,0,91.62,1.15,33.38,6.23,774.47,5.79,4.6,147.71,0,0,4.03,0,15.69,0,14.15,0,0,0,11.83,0
