stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,102.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.45,0,0,0,0,0,0,0,0,0
  5-6,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,27.18,5.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.34,48.67,0,25.85,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,26.51,0,6.18,0,6.25,0,0,0,0,0,6.22,0,0,0,0,0,0,0,0,0,0,0,63.97,93.69,0,78.35,0,0,0,0,7.85,0,0,0,0,0,0
 14-21,0,0,0,1.05,6.56,1.82,0,2.12,0,0,0,0.88,0,0,0,0,0.97,0,0,0,0,38.9,0,0,27.99,40.09,4.56,0.83,0,0,0,0,28.12,22,31.98,0,0,0,0,0
 24-34,0,0,0,0,1.5,0,0,5.02,0,0.92,4.05,0,0,0,3.83,0,0,0,0,0,0.8,148.39,0,0,29.98,80.09,2.13,0,0,0,0.59,0,7.88,3.45,79.38,0,0,11.01,0,0
 36-46,0,0,0,0,2.8,0,0,3.1,0,0,5.8,3.79,0,0,1.81,3.15,0,1.36,0,0,3.69,255.25,0,6.49,24.66,190.66,0,0,0,0,2.78,0,2.04,0,62.68,0,0,2.42,0,0
 48-58,0,0,0,0,4.04,0,0,18.09,0,0,15.6,6.96,0,0,7.42,0,0,0.45,0.65,4.53,19.83,287.32,0.74,8.42,22.08,145.15,1.27,0,0,3.8,0,0,7.84,0,58.16,0,1.49,2.1,0,21.44
 60-70,0,0,0,0,9.74,0,0,26.24,6.64,0,21.29,7.93,0,0,0.76,0,0,11.43,0,0,4.72,421.19,0,17.7,41.17,77.06,0,0,0,1.45,0,0,0.65,0,33.4,0,4.65,0,3.92,21.58
 72-82,0,0,0,0,7.69,0,0,93.63,3.78,0,27.05,9,0.67,0,1.7,0,0,6.67,0,0,7.21,590.84,0,32.46,27.38,80.37,1.06,1.07,0,1.84,0,0,0.55,0,25.09,0,17.68,0,13.11,13.83
 84-94,0,0,0,0,5.63,0,0,68.82,2.52,2.7,12.15,5.5,0,0,4.85,1.72,0,2.83,0,0,6.92,389.39,0,38.4,29.62,66.6,1.84,0,0,13,0,0,1.3,0,21.17,0,17.6,4.59,14.45,12.7
 96-106,0,0,0.87,0,7.91,4.14,6.8,81.55,1.41,0,5.1,8.52,0,0,1.61,0.93,0,1.05,1.3,0,0.57,368.15,0,17.02,19.26,59.95,0.62,0,0,4.24,4.76,0,0,0,7.39,1.68,23.58,3.38,30.82,15.5
108-118,0,0,0,0,3.64,0,0,54.15,2.72,0,14.36,14.62,0,0,0,0.52,1.03,8.11,0,1.26,8.48,445.66,0,21.73,13.13,81.25,0,0,0,15.03,0,0.81,1.03,0,0,0,16.32,0,11.95,22
120,0,0,0,0,2.16,0,0,36.86,2.14,1.31,39.38,12.15,0,0,6.03,1.31,2.21,0,0,2.58,5.95,592.64,0,61.1,9.94,144.65,0,0,0,0,0,0,0,0,14,0,42.02,0,22.4,4.33
