stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,lateral_line,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord
  5-6,8.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.42,0,0,0,3.74,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,58.54,0,0,17.13,0,0,0
 14-21,0,0,0.83,0,0,0,4.41,0,0,1.21,0,0,0,0,3.49,13.35
 24-34,0,0,0,0,0,0,12.57,0,0,1.17,5.22,0,0,0,2.52,5.01
 36-46,0,0,0,0,0,0,4.98,0,0,9.95,7.54,0,0,0,2.81,7.64
 48-58,0,0,0,0,0,0.64,2.76,0,0,3.3,0.6,0,0,0,0,9.47
 60-70,0,0,6.38,0,0,0,0.7,0,0,4.67,1.02,0,0,0,9.83,1.57
 72-82,0,0,0,0.58,0,0,2.55,0.82,0,0.53,1.74,0.69,0,0,0.86,2.42
 84-94,0,0,1.37,0,2.35,0.73,1.54,0.64,0.6,1.08,2.11,1.23,0,0,1.4,0
 96-106,0,0,0,0,1.78,0,4.29,0,0,0,0.59,0.93,0,0,0,0
108-118,0,0.74,1.61,2.08,6.99,0.42,1.91,0,0,1.74,0.42,0.83,0,3.99,0,0
120,0,0,3.12,0,0,0,0,0,5.94,7.48,0,0,0,0,0,0
