stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,225.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0,0
  5-6,20.7,363.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,7.03,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0
  7-9,4.88,6.63,0,0,0,0,3.36,0,0,0,0,5.76,0,0,0,0,0,0,0,0,0,0,146.29,0,0,0,51.54,0,3.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.23,0,6.65,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,0,471.73,0,0,0,67.99,0,0,3.78,0,7.73,0,0,0,0,0,0,0
 14-21,0,0,2.71,307.14,24.69,0,0.81,1.17,0,0,0,0,16.83,1.15,0.87,0,0,0,3.35,0,0,1.07,5.6,0,0.93,0.94,0,0,4.68,0,0.81,5.05,0.92,8.97,0,0,1.05,0,0
 24-34,0,0,0.76,371.11,22.33,0,4.07,30.65,0,1.81,1.69,0,87.29,0.79,0.63,11.94,0,6.79,11.87,0.62,0,1.64,35.04,0,29.98,0,0,0,10.6,0,0,26.6,0.6,9.65,0,0,13.34,0,0
 36-46,0,0,0,280.92,3.74,0,3.89,57,0.61,4,2.3,0,125.06,0.77,0,4.58,0,8.55,3.52,0,0,0.82,48.49,0,9.98,0,0,0,6.09,0,0,11.24,0,12.23,0,0,2.97,0,5.13
 48-58,0,0,0,161.24,9.11,0,8.78,47.93,0,3.82,0.5,0,173.38,0.44,0.49,1.5,0.37,2.38,11.5,0.57,0,0,38.4,0,3.31,0,0,0,1.76,0,0,9.39,0,7.74,0,0,9.82,0,5.5
 60-70,0,0,0,102.76,12.17,0,21.78,56.95,1.36,2.54,1.04,0,140.33,1.42,0,4.64,0,0.71,25.6,5.13,0,0,20.95,0,4.73,0,0.81,0,1.45,0,0,2.41,0,4.35,0,0,0.92,0.81,0
 72-82,0,0,0,197.8,64.71,0,16.79,27.4,0,5.54,3.67,0,115.95,0.55,0,1.62,0,0,58.77,3.09,0,6.07,24.42,0,4.95,0,0,0,2.78,0,0,0.85,0,1.14,0,4.53,0,0,0
 84-94,0,0,1.17,109.22,125.12,1.17,13.39,40.19,1.32,1.02,4.51,0,162.04,1.43,1.57,1.83,0,0,68.46,3.9,0,0,28.69,0,18.03,0,0,0,1.49,0,0,6.32,0,1.51,2.36,1.03,0,5.77,0
 96-106,0,0,4.98,187.97,68.07,0,23.86,21.12,0,4.57,23.99,0,148.46,7.01,0,5.15,15.26,0,43.99,0,0.59,0,41.29,0.61,12.72,2.25,0,0,3.95,0,0,3.02,0,0,0,1.88,2.28,0,0
108-118,0,0,1.92,253.27,30.51,0,7.99,37.77,0,9.02,30.03,0,160.54,5.99,1.61,0.47,6.63,0,76.59,4.51,4.77,0,39.08,0.86,12.1,0,0,1.96,0.54,0,0,5.29,0,0.47,1.25,7.3,3.86,3.21,5.81
120,0,0,10.72,386.27,42,0,0,36.71,0,5.44,70.02,0,298.84,4.41,3.86,2.28,0,0,21.91,3.43,0,0,16.32,9.23,13.87,2.44,0,0,19.86,0,0,0,0,0,3.72,0,4.92,0,0
