stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,474.88,8130.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.07,0,0,0,0,0,0,0,0,0,0,0
  5-6,1379.14,13925.06,19.34,0,0,0,0,0,0,0,0,0,18.63,0,0,0,0,0,0,0,0,0,0,0,435.12,25.17,0,0,71.75,0,289.74,0,0,0,0,0,0,0,0,0,0,0
  7-9,245.04,362.63,552.85,0,0,0,1349.5,0,0,0,0,0,738.18,0,0,0,0,0,0,0,0,0,0,0,14723.15,380.43,0,0,5417.51,0,54.4,160.73,0,0,0,0,0,0,0,0,0,0
 10-12,9.78,303.77,337.19,0,81.9,0,532.83,0,0,0,0,0,87.69,0,0,0,0,0,0,0,0,0,0,0,6209.66,107.75,0,0,2067.75,0,3.1,34.86,19.7,181.69,0,18.13,0,0,0,0,0,0
 14-21,0,0,2.96,57.01,11.54,0,24.91,0,0,0,7.86,1.94,14.6,1.89,0,1.5,0,0,1.15,0,17.45,0,0,17.79,332.65,8.44,3.03,0,6.81,0,34.25,0,36.4,0,4.02,41.25,91.96,0,0,2.23,0,0
 24-34,0,0,1.34,17.89,5.34,0,110.23,0,1.37,0,19.86,0.82,0,3.25,0,0.63,0.63,0.78,1.33,5.39,72.16,0.74,0,33.21,909.56,5.91,5.03,8.94,0,0,21.93,0,0,2.9,0,0.66,166.23,0,0,20.57,0,1.95
 36-46,0,0,0,41.28,2.02,0,427.29,0,1.83,0.65,31.94,0.72,0,1.82,12.29,0,0,0.77,7.43,0,87.69,0,0,15.79,1062.96,4.19,11.53,5.5,0,0,39.73,0,12.21,0.74,0,0,183.65,0,0,16.01,0,10.12
 48-58,0,0,0,7.38,0.45,0,390.41,2.12,6.16,0,23.32,0,0.41,0.42,4.64,0,0,0.62,0,0,55.06,0.67,4.32,6.13,415.1,0,2.78,0.38,0,0,2.73,0,0,0.37,0,0,54.92,0,0,3.95,0,0.39
 60-70,0.81,0,0,11.3,0,0,343.59,0,0,0,19.4,1.87,0,0,0,0,8.23,0,0,0,71.53,0,1.54,13.06,238.12,2.64,0,5.13,0,0,9.91,0,0,0.67,0,0,34.43,0,0,14.96,1.79,0
 72-82,0,0,0,8.92,1.32,0.76,84.49,0,0,0,8.34,3.1,0,0.55,0.63,2.89,0,0,0,0,39.69,0.58,1.93,10.13,96.46,5.81,3.21,3.12,0,0,0,0,0,0,0,0,1.68,0,1.57,8.72,0,0
 84-94,0,0,0,9.75,6.28,0,111.59,0,0,3.91,14.72,4.98,2.81,0,2.59,4.69,2.32,0,0,0,60.38,0,8.5,9.72,122.32,0,1.04,0.66,0,0,5.87,0,0,0,0,0,0.58,5.24,0.69,11.87,0,8
 96-106,0,0,0,5.52,7.43,1.58,41.36,0,0,0,12.95,1.37,0,0,3.28,0,0,0,0.57,0,14.25,2.82,0,2.24,45.57,0,0.71,0.63,0,0,9.15,0,0,0,0,0,5.7,1.17,0,0,0,0
108-118,0,0,0,7.77,4.42,1.01,39.43,0,1.33,1.28,9.66,3.13,0,0,4.26,0,0,1.47,0.58,3.6,7.47,0,5.63,3.43,77.31,0,0,0,0,1.05,1.36,0,0,0,0,0,8,0.51,0,2.94,2.12,3.85
120,0,0,0,8.66,13.81,0,101.88,0,0,0,53.77,2.28,0,0,1.28,2.5,1.18,2.89,0,0,27.41,0,0,0,171.22,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,11.76,4.22,0
