stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,102.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.62,225.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71,0,0,0,0,0,7.63,0,0,0,0,0,0,0,0,0,0
  7-9,8.08,31.32,12.73,0,0,0,72.13,0,0,0,0,0,31.95,0,0,0,0,0,0,0,0,0,0,503.35,23.38,0,0,168.69,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.05,26.36,0,0,0,42.23,0,0,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0,319.82,0,0,0,123.64,0,0,0,0,22.3,0,0,0,0,0,0,0
 14-21,0,0,4,57.93,18.28,0,71.19,0,0,0,6.63,1.88,8.01,0,0,0,0,1.12,2.77,0,34.21,0,32.49,422.79,8.96,0,4.04,5.08,0,0,0.91,75.5,0,2.63,121.96,68.13,0,2.65,0,0
 24-34,0,0,3.74,11.3,1.6,0,72.13,0,0,0,3.21,1.28,0.74,3.78,0,0.7,0,0.65,0,1.09,39.35,0,8.17,488.8,2.4,0.86,2.11,0,0,7.07,0,0,0,0,34.57,69.1,0,5.49,0,5.59
 36-46,0,0,0,1.34,0,0,46.27,0,0,0,11.59,0,0,0,0,0,0.56,0,0.67,0,19.3,0.71,6.83,173.58,0.78,0.73,1.01,0,0,4.56,0,0,0,0,0.6,40.43,0,7.05,0,0
 48-58,0,0,0,9.58,0,0,85.14,0.93,0,1.23,28.09,1.02,0,0.59,0,0,3.18,0,0.38,0,28.42,0,14.81,171.36,0,0,1.03,0,0,1.75,0,0,0,0,0,22.55,0,5.22,0,1.2
 60-70,0,0,0,5.54,0,0,75.16,1.34,0,0,9.26,1.57,0,0,0,1.69,0.63,0,0,0,18.76,0,1.88,169,0,0,0.81,0,0,0.63,0,0,0,0,0,6.63,0.67,0,0,0
 72-82,0,0,0,5.34,1.84,0,50.94,0.59,0,7.24,17.25,0.49,0,0,2.46,0,0,0,0,0,30.57,0,7.58,115.96,0.73,0.54,0,1.13,0,4.75,0,0,0,0,0,6.5,0.75,4.64,0,8.53
 84-94,0,0,0,8.15,0.57,0,11.98,1.32,0,3.71,20.08,7.91,0,0,3.44,1.63,0,1.57,0,0,16.46,0,16.7,52.6,0,0,0,0,0,12.97,0,0,0,0,0,7.75,0,3.01,1.09,0
 96-106,0,0,0,3.27,1.5,0,16.84,0,0.71,4.41,7.68,0,0,1.58,5.48,0.61,1.02,3.68,0.7,0,23.61,0,16.41,58.12,0.68,0,0.91,0,0,9.75,0,0,0,0,0,2.18,0,4.14,0,0
108-118,0,0,0,9.65,1.78,2.53,44.32,0,0.52,0.52,16.07,2.38,0,0,4.37,0.6,2.21,0,0.43,0,31.71,0,15.31,81.81,0.41,0.98,0.95,0,0,3.82,0,0,0,0,0,0,0,2.39,2.47,0
120,0,0,0,20.83,5.1,0,25.55,1.61,2.63,0,7.14,3,0,0,2.81,0,0,0,0,0,29.93,0,11.47,114.32,0,0,0,0,2.67,7.62,0,0,0,0,0,0,0,6.49,0,0
