stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
 14-21,4.98,1.39,0,0,0,1.33,0,0,0,0,2.42,0,0,12.78,16.44,0,0,0,0.92,9.78,120.36,526.33,5.76,0,0
 24-34,1.35,0,2.57,11.59,0,1.59,0,4.28,0,0,0,0.65,2.4,11.64,36.82,1.82,0,2.91,4.1,0,17.5,134.81,3.95,1.97,0
 36-46,0,0,1.91,12.62,0,0,0,0,0,0,0,0,0,3.02,10.07,0,7.09,0,0,0,4.62,5.42,2.64,0,7.37
 48-58,0,0,4.19,5.69,0,0.51,0,0,0,0,11.03,0,0.58,8.18,21.91,0,0,0,0.41,0,3.17,0.55,0.39,0,0
 60-70,0,0,13.8,14.52,1.06,0.76,0.57,0,0,0,0,0,4.58,4.86,3.36,0,0,0,0,0,2.94,0,4.46,0,0
 72-82,0,0,9.42,8.9,0,0.89,0,0,0,0,0,0,0.71,8.6,7.08,0.95,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,23.82,0,0.84,0,0,0,0.81,0,0,0.63,7.92,2.62,0.55,0,0,0,0,0,0,0,1,0
 96-106,0,0,1.4,14.29,0,0,1.02,0,1.1,0,0,0,0.57,3.23,9.53,1.71,0,0,0,0,0,0,0,0,0
108-118,0.52,0,7.14,9.42,0,0,0,0,0,1.95,0,0,0,5.21,2.91,0.69,0,0,0,0,1.9,0,0,0,0
120,0,0,0,24.61,0,0,0,0,0,3.92,0,0,18.38,3.48,3.51,0,0,0,0,0,0,0,0,0,0
