stage,endoderm,epidermis,eye,fin_epithelia,glial,gut,heart,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,spinal_cord
 10-12,0,0,0,0,0,0,0,10.63,0,0,0,66.91,0,0,0,0,0,0
 14-21,0,0.82,0,0,0,0.85,0,359.66,0,0,0,0,2.45,0,0,0,1.92,6.47
 24-34,7.3,0,0,0,0,0,0.8,166.33,0,0,3.09,3.08,0,1.72,0,2.06,0,1.83
 36-46,0,0,0,0,0,0,0,89.36,0,1.73,0.55,0.89,0,0,0.83,1.79,0,3.61
 48-58,0,0,0,0,0,0,0,27.93,6.04,1.03,0,3.53,0,0,0,0,0,0.67
 60-70,0,0,0,0,0,0,0,9.69,0,0,0,5.03,0,0,0,0.71,0,0
 72-82,0,0,0,0,0,0,0,12.57,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.82,0,0,9.97,0,0,0,0,0,0,0,2.26,0,0
 96-106,0,0,1.2,1.66,0,0,0,1.56,0,0,0,0,0,0,1.71,1.7,0,0
108-118,0,1.92,0,0,0,0,0,19.98,0,0,0,0,0,0.43,0,1.81,0,0.48
120,0,0,7.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.81
