stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,immune,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vasculature,xanthophores
  5-6,16.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.63,0,0,3.06,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,5.65,0,0,0,0,24.01,0,0,0,0,0.82,1.36,0,3.29
 24-34,0,0,0,4.31,0,0,0,0,1.79,0,48.75,0,0.79,0,0.96,202.27,0,0,0,0,0,6.06,0,17.48
 36-46,0,0,0,0.85,0,7.79,0,0,1.49,0,83.91,0.85,0,0,0,340.3,1.55,0,0,0,0,29.33,0,9.44
 48-58,0,3.5,0,19.79,0,13.75,0,0,0.76,0,45.15,3.35,0,0,0.44,378.57,0,0.42,0,0,0,64.14,0,29.61
 60-70,0,0,0,26.69,0,186.71,0,0,10.25,0,20.21,2.83,0,0,0,440.78,0,1.84,0,2.27,0,42.38,0,1.92
 72-82,0,0.87,0,16.9,0,446.53,0.5,0,18.9,1.95,9.49,9.89,0,0,0,273.85,0,4.98,0,0.65,0,28.86,0,0
 84-94,0,4.55,0,18.29,0,399.62,0,2.84,2.64,0,9.27,8.28,3.03,0.76,0,168.71,0.95,5.81,0,0.64,0,16.01,1.19,0.88
 96-106,0,0.71,0,16.03,2.87,457.69,0,0.74,1.72,0,7.48,17.55,0,3.48,0,115.91,0,0,0,0,0,2.98,0,0
108-118,0,0,0,13.13,0,555.47,0,0,3.64,0,3.61,19.74,0,0,0,147.37,1.02,1.43,0,0.82,0,3.47,4.98,1.86
120,0,0,5.28,65.37,0,584.07,0,0,5.21,0,3.34,5.95,0,0,0,195.95,0,0,0,0,0,0,0,0
