stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.1,70.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,165.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,16.08,0,0,0,9.11,0,0,0,0,0,3.69,0,0,0,0,0,0,0,0,0,0,124.71,0,0,0,26.19,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,5.17,0,0,0,0,0,5.11,0,0,0,0,0,0,0,0,0,0,141.19,0,0,0,48.11,0,0,15.56,7.28,0,0,0,0,0,0
 14-21,0,0,0,0,8.06,0,0,3.73,0,0,0,2.11,0,0,0,0,0,0,0,0,0.83,0,0,0,35.18,0,0,0,0,0,2.98,0,5.86,13.34,0,0,1.77,0,0
 24-34,0,0,0,0.68,1.83,0,0,5.02,0,0,0.92,0.62,0,0,0,0,0,0,0,3.78,11.16,0,0,3.51,117.29,0,0,0.62,0,0,0,0,0,22.17,0,0,1.4,0,0
 36-46,0,0,0,0,2.7,1.12,0,18.08,0,0.79,0,3.22,0,0,0,0,0,0,0,0,14.73,0,0,0.74,162.84,0,4.64,6.74,0,0,0,0,0,18.57,0,0,4.53,0,0
 48-58,0,0,0,0,0,0,0,37.31,0,0.38,0.82,4.93,0,0,2.25,0,0,0,1.27,0,13.12,0,0,0.39,123.8,0,2.16,1.09,0,0,0,0.53,0,16.55,0,0.51,2.13,0,0
 60-70,0,0,0,0,0.97,0,0,48.68,0,0,0.62,7.7,0.75,0,0,0.98,0,0,0,0,14.83,0,3.05,1.33,99.68,0,1.95,1.12,0,3.13,0,0,0,11.89,0,0,0,0,0
 72-82,0,0,0,0,1.4,0,0,67.09,0,0,0,7.86,0.64,0,0.58,0.89,0.55,0,0,0.49,22.28,1.31,1.75,2.53,123,0,0.7,0.54,0,0.71,0,0,0,8.22,0.5,0,1.53,0,0
 84-94,0,0,0,0,5.75,0,2.35,61.33,7.04,0.58,0,19.48,0,0,0,0.75,0.55,0,0.76,0,15.08,0,0,0,58.1,0.83,2.58,5.05,0,0.69,0,0.7,0,2.5,0,0,0.64,0,3.45
 96-106,0,0,0.99,0,2.14,0,0,66.59,0,1.52,0,6.46,1.04,0,2.51,5.22,0.63,1.38,0,0,14.07,0,2.76,0.62,70.25,0.57,5.82,2.36,0,0.65,0,0,0,1.02,0,0,1.7,0,1.26
108-118,0,0,0,0,7.61,0,0,19.69,0,1.29,2.91,12.24,1.4,0,0,0,0,0,0,0,23.29,0,0,0,49.01,5.66,0.59,8.07,0,0,0,0,0,0,0,0,0,0.49,0
120,0,0,0,0,5.36,0,0,44.51,0,0,0,3.95,1.94,0,0,0,0,0,0,0,7.42,0,1.38,0,100.05,0,0,0,0,7.71,0,0,0,14.99,0,0,0,0,0
