stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,lateral_line,melanocytes,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,21.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,6.05,0,0,0,0,0,0,0,8.91,0,0,0,9.56,3.31,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,7.99,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.02,0.89,1.44,0,1.08,0,0,0,0,0,9.89,0,0,2.01,0,0,6.2,1.21,10.35,0,0,0
 24-34,0,0,0,0,0,9.7,0,0,0,0,0,44.4,0,18.99,0,0,0,2.26,0.93,14.74,0,1.68,0
 36-46,0,0,0,0.75,0,3.65,0,0,0,0,0,59.45,0,4.14,0,0,1.62,0,0,6.99,0,0,0
 48-58,0,0,0,7.29,0,10,0.57,0,0.43,0.59,0,30.81,0,1.91,0,0,0,0,0,13.19,0,0,0
 60-70,0,0,0,0,0,7.98,0.96,0,0,2.67,0,14.34,2.62,1.95,0,0,0,0,0,4.83,0,0,0
 72-82,0,0,9.71,0,0,10.12,0,2.78,0,5.39,0,15.21,0,1.49,0,0,0,0,0,2.9,0,0,0
 84-94,0,0,6.47,0.66,0,3.41,0,1.7,0,0,2.84,7.46,0,0,2.34,0,0,0.62,0,11.81,0.84,0,0
 96-106,0,2.19,4.84,0,2.34,10.46,0,0.58,0,1.82,0,12.68,0,2.14,0,0,0,0,0,7.84,0,0,0
108-118,0,0,1.91,1.94,0,0.45,0,1.02,0,0,0,8.01,0,0,0,0,0,0.43,0,1.81,0,0,0
120,0,1.69,0,4.87,0,2.61,0,0,0,0,0,5.97,0,1.26,0,0,0,0,0,0,0,0,2.85
