stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,72.73,1377.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.72,0,0,0,0,0,0,0,0,0,0
  5-6,43.9,484.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.63,0,32.42,0,0,0,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,170.89,31.53,0,0,90.63,0,4.58,0,0,0,0,0,0,0,0,0
 10-12,0,66.01,0,85.59,0,0,5.18,0,0,0,0,0,3.87,0,0,0,0,0,3.73,0,0,0,0,0,2288.7,99.47,0,0,785.7,0,19.55,0,106.38,0,0,35.93,0,0,0,0
 14-21,0,0,1.32,5.78,22.68,30.21,12.25,0,0,0,319.34,0,0,0,0,0,0,0,0,0,27.34,0,0,3.32,688.84,15.53,1.74,102.83,69.79,2.96,1.12,8.2,480.31,1.32,13.96,1345.23,0,2.24,0,0
 24-34,0,0,0.67,2.98,6.18,0,26.68,0,1.21,2.68,533.97,0,0,0,0,0.68,0,5.12,0,0,13.78,0,0,4.98,786.82,6.79,43.88,17.37,0,15.07,0.86,0,198.04,0,22.63,1093.87,0,0,0,0
 36-46,0,0,2.2,0,6.99,0,17.35,0,0,0,414.88,1.29,0,0,0,0.74,0,7.27,1.17,0,6.9,0,0,1.5,679.2,1.44,96.3,13.01,0,2.36,0,0,84.98,0,0.7,920.08,0,0,0,0
 48-58,0,0,0,0,0.92,0,79.21,0,0.42,3.06,367.56,0,0.63,0,0,0,0,4.34,0,0,4.02,0,0,0.48,241.08,0,63.09,26.62,0,6.88,0,0,25.73,0,0,649.77,0,0,0,0.47
 60-70,0,0,0,0,12.47,0,81.98,0,0.63,0,467.24,3.02,0,0,1.76,0,0,7.33,0,0,3.89,0,0,0,218.3,0,83.71,32.17,0,0,0,0,23.76,0,0,296.98,0,0,0,0
 72-82,0,0,4.78,0,1.03,0,46.05,0,1.14,0,462.1,5.32,0,0.98,0,0,0,29.98,0,0,7.98,0,2.19,3.23,157.87,0,109,33.33,0,0,0.85,0,20.33,0,0,150.42,0,0.62,0,2.8
 84-94,0,0,19.05,3.08,2.21,0,72.12,0,0,0,337.73,11.65,0,5.71,0,0,4.32,18.82,0,0,23.42,0,0,1.27,111.01,0,117.5,57.84,0,0,4.2,0,45.76,0,0,151.18,0,1.21,1.06,0
 96-106,0,0,12.83,4.69,5.33,0,78.42,0.94,0,2.52,360.2,5.37,0,0,0.64,0,0.79,46.76,1.93,0.58,15.35,2.99,0,0,74.8,0.57,132.75,46.3,0,0.99,0,0,31.18,0.64,0,119.05,1.22,0.74,0,0
108-118,0,0,6.44,7.29,5.3,1.73,46.08,3.27,0.69,2.73,427.98,5.68,0,0,1.82,0.91,1.44,19.81,0,0,17.09,0,0,1.13,157.63,0,133.83,42.79,0,0,0,0,27.2,0.66,0,105.21,0,0,2.59,0
120,0,0,12.31,3.17,6.39,0,70.35,0,0,0,446.86,28.35,0,2,0,0,2.22,21.34,6.54,0,14.31,0,0,0,159.76,0,133.11,60.29,0,0,0,0,20.58,0,0,83.45,0,12.13,0,0
