stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,12.96,8.06,0,0,0,94.01,0,0,0,0,0,10.02,0,0,0,0,0,0,0,0,0,0,154.4,8.92,0,0,8.39,0,0,0,0,0,0,0,0,0,0
 10-12,0,44.33,4.04,0,0,230.65,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,1553.31,0,0,0,7.25,3.1,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,33.88,3.99,88.29,0,0,0,0,0,0,0,0,53.69,0,0,0,6.13,7.01,0,2.72,519.87,1.06,0,0,0,1.12,1.79,1.05,2.53,40.69,0,0,0,0,1.85
 24-34,0,0,0,0.66,0,364.71,0,0,0,1.4,0,0,0,0.66,47.52,0,0,0,0.87,2.88,0,0,521.4,0,1.36,0,0,8.18,0,0,0.69,53.26,0,0,0.9,0,0
 36-46,0,0,0,0,0,335.43,0,0,0.62,41.21,0,0,0,0,9.26,0,0,0,0,0.58,0,0.75,1025.64,0,1.27,0,0,2.02,0,0,0,39.39,0,0,1.54,0,0
 48-58,0,0,0,13.1,0,609.81,0,1.24,0,68.48,0,0,0,0,2.68,0.54,0,1.7,1.34,0,0,5.2,1387.35,0,3.35,0,0,2.88,0,0.99,0,18.3,0,0,0,0,0
 60-70,0,0,0,3.17,0,813.89,0,0.67,2.29,112.85,0.84,0,0,0,6.04,8.58,0,0,8.84,0,0,0.7,1802.85,0,2.83,0,0,3.11,0,0,0,17.63,0,0,0,0,18.29
 72-82,0,0,0,16.07,0,1162.56,0.69,0.52,0,76.72,0,0,0,0,5.84,0.83,6.2,0,16.25,2.02,0,1.87,1990.28,1.8,1.1,1.5,0,0.66,0,0,0,21.43,0,0,2.55,0.56,5.89
 84-94,0,0,0,5.22,0,913.25,0.95,0,3.01,75.46,0,0.6,0,1.26,3.74,1.78,1.28,0,9.18,0.76,0,0,1520.33,0,0,5.05,0,12.83,0,3.8,0,12.62,0,1.45,2.78,0,0
 96-106,0,0,0,14.22,5.45,1114.18,1.64,0,0,56.27,0.66,1.32,2.23,0.83,6.26,1.02,0.73,1.3,30.87,0,0,1.82,1334.26,0,1.2,0,0,7.03,0,0,0,0,1.23,5.74,3.54,0.76,3.01
108-118,0,0,0,10.52,2.34,949.49,1.34,0,0,89.11,2.55,0,0,0.43,3.01,0,0,0,27.38,0.57,2.59,5.27,2104.35,0,2.86,2.95,0,0.6,0,0,0,4.71,0,0,6.06,0,2.47
120,0,0,0,39.79,6.96,488.46,4.34,0,0,69.46,1.22,0,0,0,3.03,0,0,0,44,0,0,0,2002.51,2.28,9.45,0,0,0,0,0,0,0,0,1.54,0,0,0
