stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,508.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.53,0,0,0,0,0,0,0,0,0,0
  5-6,23.92,708.86,0,0,0,0,0,0,0,0,0,0,14.89,0,0,0,0,0,0,0,0,0,40.92,22.6,0,0,32.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,25.48,14.5,27.87,0,0,0,90.92,0,0,0,0,0,32.42,0,0,0,0,0,0,0,0,0,680.27,45.77,0,0,259.61,0,0,7.62,0,0,0,0,0,0,0,0,0
 10-12,0,42.72,38.8,0,15.92,0,60.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696.21,33.57,0,0,283.27,0,0,4.37,0,9.92,0,0,0,0,0,0,0
 14-21,0,0,1.25,5.95,0,0,2.42,0,0.88,0,1.08,0,0,0,0,0,0,0,0,3.45,0,3.01,63.01,0,0,0,1.69,0,1.04,0,8.51,0.82,0,2.16,16.01,0,0,0,0
 24-34,0,0,0,0.61,0,0,9,8.76,0,0,4.62,0,0,0,0,0.59,0,0,0,7.24,0,3.19,128.24,0,1.54,4.02,0,0,7.9,0,0,0,0,0.62,28.34,0,0,6.14,0
 36-46,0,0,0,1.92,0,0,46.95,0,0,0,4.88,0,0,0.88,0,0,0.79,0,0,9.43,0,3.26,126.44,0,0.76,0,0,0,3.35,0,0,0,0,0,32.44,0,0,2.14,0
 48-58,0,0,0,2.48,0,0,44.98,0,0,0,1.45,0.91,0,0.55,0,0,1.93,0,0.39,9.31,0.48,0.85,78.82,0,0,0.42,0,0,1,0,0,0,0,0,12.73,0,0,0,0
 60-70,0,0,0,0.93,3.92,0,64.77,0,0,0,12.45,0,0,0,0.72,0,0,0,0,20.19,1.2,1.02,94.59,0,2.1,0,0,0,0.59,0,0,0,3.95,0,20.61,0,0,0,0
 72-82,0,0,0,2.07,0,1.04,31.66,0,2.85,0.57,8.04,0.86,0,0,0,0,0,0,0,7.88,1.08,4.72,65.67,0,0,0,0,2.17,0.5,0,0,0,0,0,3.38,3.4,0.52,1.4,0
 84-94,0,0,0,4.71,1.71,0,41.78,0,1.41,1.05,2.35,2.09,0,0,1.3,0,0,0,0,9.16,1.88,0.91,52.49,0,1.04,1.05,0,0,5.22,0,0,0,0,0,5.9,0,0,3.58,2.39
 96-106,0,0,0,3.36,1.41,0,27.49,0,0,0,3.07,0.71,0,0,0.58,0,1.72,0.62,0,17.16,0,3.16,44.97,0,4.21,0,0,1.47,6.87,0,0,0,0,0,1.78,4.97,0.66,0.57,0
108-118,0,0,0,1.23,1.05,0,27.42,0.69,0.71,0.51,1.75,0.5,2.74,0,1.01,0,0,0.7,0,14.54,0.94,0,74.42,0,0,1.29,0,0,2.54,0,0,0.43,0,0,6,0.43,1.37,5.81,2.39
120,0,0,0,12.68,1.12,0,44.37,0,0,1.88,0,3.22,0,0,0,1.25,0,0,0,14.78,0,1.5,109.61,0,6.24,0,0,0,1.22,0,0,0,0,0,0,0,3.52,0,0
