stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,3.37,1.03,6.91,5.99,0,9.56,0,0,0,0,0,1.34,0,0,2.31,0,0,0,21.16,0,6.87,36.37,2.67,0,0,1.09,0,0,8.65,0,5.33,41.45,5.9,0,0.97,0,0
 24-34,0,0,0.65,1.34,0,99.09,0,0,0,1.69,0,9.14,0,0,21.98,0,6.69,38.18,40.85,0,3.51,82.3,0,0,1.55,0,4.82,0,0,0,3.68,0.69,38.56,0,52.28,0,16.75
 36-46,0,0.96,0.77,0.72,0,91.9,0,0,0.61,0.78,0,0,0,0,36.35,0,0,50.54,5.69,0,0,102.54,0,0,0,0,1.51,0,0,1.37,0,0,101.82,0,40.66,0,1.54
 48-58,0,0,0.45,0,0,284.81,0,0.5,1.54,2.74,0,0,0,0,63.34,2.2,0.43,68.43,4.92,2.26,1.18,240.81,0,0,1.14,0,2.61,0,0,0,2.5,0,93.18,0.37,23.98,0,42.7
 60-70,0,0,7.04,0,0,866.88,0,0,9.7,0,1.77,1.87,0,0,91.88,0.64,0,38.67,3.98,0,0,356.7,0,0,0,0,0,2.35,0,0,0,0,25.33,5.02,26.94,1.62,21.8
 72-82,1.07,0,0.84,4.21,0,1042.38,4.54,0,17.05,0,0,5.01,0,0,81.01,0.6,0,30.88,16.17,3.6,0.97,358.67,0,0.54,0,0,2.13,0,0,0,0,0,3.92,0,11.55,1.68,27.25
 84-94,0,0,7.45,2.91,0,733.69,0,0,17.97,0.64,0,1,1.52,0,91.16,2.43,0,43.27,22.24,8.25,2.38,204.53,0,0.7,0.9,0,0,2,0,0,0,0,4.15,1.15,15.6,9.33,44.23
 96-106,0,0,4.78,2.85,0,842.7,0,0,30.72,4.89,0,3.3,0.95,0,102.53,1.09,2.24,18.11,17.14,0,0,204.92,0,0.56,1.29,0,3.09,1.59,0,1,0,0,11.08,1.27,9.28,0,12.62
108-118,0.57,0,0,2.65,0.5,676.49,0,0,20.6,0.48,0,0.56,0,0,194.6,0,0,34.55,20.11,7.71,1.47,286.19,0,0,0,0,0.91,0,0,0,0,0,0,0,6.25,0,23.44
120,0,0,8.2,0,2.02,604.7,0,0,42.61,2.27,0,0,0,2.37,108.77,4.72,0,4.85,11,2.75,2.23,429.92,2.98,0,0,0,0,3.33,0,0,0,0,1.53,0,24.48,0,4.69
