stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,27.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,13.5,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,14.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.52,0,0,4.28,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,32.75,0,0,0,0,0,0,0,0,63.6,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,1.46,26.33,0,2.34,0,0,0,0,1.52,0,58.71,0,0,0,4.01,4.26,0,0,7.08,0,0,0,0,2.13,0,2.41,0,0,0,0,0
 36-46,0,0,0,27.19,0,7.14,3.16,0,0,0.66,0,0,16.06,0,0,0,1.7,0.79,0,0,11.8,0,0,0,0.63,0.59,0,0,3.25,0,0,0,0
 48-58,0,0.42,1.04,10.62,0,7.46,8.06,0,0,10.7,0,0,24.54,0,0.39,0.65,5.72,0.74,0,0,7.74,0,0,0,0,0.74,0,0,0,0,0,0,0
 60-70,0,0,0,8.59,0,4.24,9.49,1.21,0,38.8,0,0,14.47,0,0,4.62,0,1.7,0,0,23.6,0,0,0,6,1.68,1.91,0,0,0,0,0,0
 72-82,0,4.53,0,9.7,0,6.27,3.18,0,0,62.59,0,1.55,32.05,0,0,2.04,3.72,1.13,0,0,21.49,0,2.99,0,1.11,0,0,0,0,0,0,0,3.8
 84-94,0,1.01,0,28.72,6.16,0.67,2.86,0,4.22,101.05,0,0,43.5,0.76,1.82,0,3.02,0.76,0,2.01,16.8,0,0,0,4.97,0,0,0,0,0,0,0,0
 96-106,0,8.34,1.62,7.11,0,8.38,12.68,0,6.92,179.61,0,0,44.33,0,0,1.58,1.45,0.63,0,0,37.56,0,2.43,0,10.64,0,0,0,0,0,0.76,2.19,0
108-118,0,2.42,0.44,15.31,0,0,4.22,0,6.46,151.31,0,0,44.64,1.05,0,0,4.3,0,0,0,57.36,0,0,0,2.41,0.46,0,0,0,4.85,1.24,0.88,0
120,0,3.73,0,10.61,0,0,0,0,0,113.66,0,0,20.48,5.27,0,4.14,2.57,0,9.18,0,51.98,4.62,0,0,0,0,0,0,0,0,2.41,0,3.28
