stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,2.97,0,0,0,0,0,0,0,0,109.76,0,0,0,0,0,0.92,0,0,19.65,0,0,0,0,0,0,0.73,0
 36-46,0,1.48,0,0,0.76,0,0,0,0,0,111.15,0,2.17,0,0,0,2.38,0,0,40.66,0,0,0,0,0,0,0,0
 48-58,0,1.92,0,0,4.41,0,0,0,0,0,193.75,0,1.06,0,0,0,11.49,0,0,16.58,0,0,0,2.18,0,0,0,0
 60-70,0,0.57,1.55,0,3.84,0,0,0,0,0,234.42,0,2.34,0,0.64,0,20.26,0,0,16.58,0,0,0,0,2.2,0,5.1,0
 72-82,0,0.76,0.59,0,17.57,5.06,1.01,2.54,0,0,630.36,0,10.47,0.74,0,0,61.27,7.76,0,21.63,4.94,0,0,0,0,0,107.89,0
 84-94,0,1.3,0,0,28.32,0,3,0,2.04,0,860.82,0,5.72,0,0,0,26.74,0,0,4.73,1.84,0,0,5.16,0,1.15,55.56,4.18
 96-106,1.41,6.14,27.19,3.86,45.2,0,9.5,5.11,0,3.63,1810.18,0.74,19,1.24,0,4.31,62.3,0,0.66,12.89,10.24,0,0,2.06,0,0,296.8,0
108-118,0,10.79,0.72,0,24.51,0,7.12,0,0,11.29,1226.49,0,20.67,0,0,0,29.97,0,1.56,3.49,12.2,0,3.18,0,0,0,165.93,0
120,0,4.79,0,0,0,0,0,16.55,0,0,694.6,3.54,0,0,0,1.74,13.25,0,0,0,0,5.04,0,0,0,0,170.15,0
