stage,axial,blastomeres,endoderm,eye,glial,hatching_gland,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pgc
  3-4,0,332.09,0,0,0,0,0,0,0,0,0,0
  5-6,15.53,92.71,0,0,0,10.32,0,0,0,0,11.25,0
  7-9,0,0,0,0,0,0,0,36.14,0,26.07,0,3.47
 10-12,0,6.56,7.1,0,0,0,0,24.21,5.14,0,0,0
 14-21,0,0,0,0,0,0,0,8.35,0,0,0,0
 24-34,0,0,0,0,0,0,0.76,1.87,0,0,0.65,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,7.39,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.71,0.82,0,0,0,0,0,0,0
108-118,0,0,0,1.46,0,0,2.12,0,0,0,0,0
120,0,0,0,0,0,0,0,1.15,0,0,0,0
