stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,24.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.85,0,0,0,9.28,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.87,0,0,0,177.01,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.65,0,0,0,192.95,0,0,7.27,0,0,0,0,0,0,0,0
 14-21,0,0,11.55,0,0,11.4,0,0,0,12.62,0,1.07,0,0,0,0,0,0,54.13,0,22.83,697.23,1.89,0,0.97,13.97,0,0,0,0,2.73,219.18,0,0,24.35,0,0
 24-34,0,0,16.53,2.99,0,129.67,0,0.92,0.92,103.96,0,9.35,0,0,0.97,0,11.35,3.35,303.33,0.89,112.36,3333.91,12.89,0,2.47,0,0,11.26,5.51,0,2.85,931.75,0,0,195.96,0,0
 36-46,0,0,12.86,0,0,1049.48,0,1.53,4.77,537.92,0,8.69,0,0,0,0,4.79,0,442.78,6.09,99.07,5162.22,13.81,5.91,18.84,0,0,3.29,0,0.58,0,1610.07,0,0.62,120.97,0,0
 48-58,0,0,15.22,5.78,0,2189.64,1.18,15.46,19.34,1097.64,0,11.14,2.46,6.68,8.95,1.29,0,4.61,362.81,4.7,54.65,3243.73,0.96,3.05,6.83,0,0,8.43,0.46,0.94,0,1949.62,0,3.61,126.56,0,7.83
 60-70,0,0,7.56,0,0,1756.55,0,0.89,9.97,2434.35,0,0.76,4.4,0,2.82,3.43,2.4,0,512.66,12.3,41.95,1158.31,5.3,0,8.13,0,17.85,15.05,0,0,0,943.63,0,9.64,87.5,1.6,3.74
 72-82,0,0,19.5,1.18,0,757.65,0.55,0,16.01,3034.4,0.67,0.9,0.61,1.73,0,0,0,0,558.49,20.37,42.81,565.29,0,4.05,20.61,0,6.11,4.26,0,0,0,214.91,0,12.69,146.45,8.92,7.49
 84-94,0,0,12.84,7.36,0,752.63,0,7.14,21.37,2259.8,0,3.9,0.62,0,3.54,0,0,0,424.47,13.07,21.37,625.54,1.45,0,12.7,0,2.68,29.52,0,0,0,185.62,0.85,16.04,150.6,9.49,0.69
 96-106,0,0,18.58,3.59,2.07,646.1,2.38,3.15,10.03,2667,4.14,2.6,4.71,4.34,1.75,0,7.43,0,465.06,12.37,39.89,429.03,3.93,0,28.18,0,21.17,20.18,0,0,0,76.66,0,13.79,197.97,1.42,1.07
108-118,0,0.75,34.19,4.84,3.45,597.84,0,0,18.28,3055.48,1.97,1.04,1.28,2.04,2.29,0,1.74,2.43,605.58,12.1,34.61,490.32,8.05,0,31.22,0,38.63,7.13,0,0.48,0,93.97,1.07,7.61,166.05,10.08,0.92
120,0,0,33.36,4.46,2.35,764.63,0,0,39.22,5586.48,0,0,31.89,0,0,2.12,3.84,0,480.85,2.22,31.36,754.59,0,0,55.18,0,65.17,2.51,0,0,0,97.04,2.25,33.9,195.27,7.19,0
