stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,7.23,0,1.37,0,0,0,0,0,0,0,0,0,0,0,5.22,0,0,0,22.67,0,1,0,0,5.4,0.91,4,0,0,1.8,12.19,0,0,0,0,0
 24-34,0.75,2.77,0,7.59,0,1.5,0,2.92,0,0,4.66,0,0.78,0,2.03,7.68,0,0,1.38,57.41,0,4.14,0.68,0,27.13,0,0,4.87,10.39,0.72,34.85,0,0,14.98,0,5.66
 36-46,0,10.5,0.57,48.09,0,1.06,6.9,9.06,0,14.32,18.71,0,0.89,2.78,0.77,11.2,0,0,16.33,202.36,0,9.33,1.7,0,59.89,0,0,2.98,6.06,0,56.67,0,0,6.85,0,4.7
 48-58,0.87,7.65,0,81.09,0,5.34,0.6,41.13,0,0.44,1.74,0.4,0.39,0,2.3,18.65,0.9,0.44,1.85,250.79,0,7.8,1.2,0,21.05,0,0,1.41,0,0,56.29,0,0,5.97,0,1.71
 60-70,0.86,3.77,0,317.45,1.89,4.29,0.87,94.97,1.25,8.46,23.39,0,1.52,7.49,0.86,27,0,0.89,0,384.81,0.66,8.61,0,0,13.18,0,0,5.06,2.8,0,68.03,0.81,1.93,7.89,0,9.56
 72-82,1.85,9.43,11.96,146.23,0,0,1.98,76.64,6.64,5.74,21.48,0,1,0,0,26.05,0.52,1.82,3.57,252.58,0,11.45,5.06,0,6.7,0,0,8.82,2.23,0,23.54,0,0,2.76,0.58,8.49
 84-94,2.67,12.58,2.55,115.71,1.49,2.72,2.43,92.61,6.14,3.61,28.11,2.12,0,2.93,2.78,14.94,0,1.85,0.75,223.75,0,7.78,5.51,1.31,32.26,0,0,3.56,1.81,0,30.41,0,0,7.14,0.6,0
 96-106,2.68,12.37,10.96,92.8,0,0,2.64,70.73,10.6,10.09,32.41,0.63,1.45,0,1.92,29.64,2.72,3.44,0,176.5,0,6.4,15.56,0,34.09,0,0,4.02,0.63,0,10.68,1.84,0.79,5.88,2.33,0
108-118,0,16.7,9.98,122.48,0.64,0.42,0.84,58.18,5.1,9.72,17.71,3.39,0.7,2.91,0,25.5,1.12,0,0.92,149.99,0,8.46,4.44,2.11,15.92,0,0,7.58,0.93,0,0.92,0.45,0,1.73,2.43,2.93
120,3.52,24.24,0,155.39,0,3.81,0,127.79,13.3,46.17,21.35,1.05,1.74,0,1.45,24.23,1.1,0,0,372.46,0,7.78,3.86,0,17.56,0,0,10.47,0,0,0,1.39,0,4.27,0,0
