stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,85.22,1116.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.83,0,0,0,0,0,0,0,0,0,0,0
  5-6,46.24,338.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.58,0,0,0,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.36,20.43,0,0,0,3.2,0,0,0,0,3.06,0,0,0,0,0,0,0,0,0,103.25,0,0,0,6.54,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.92,0,0,9.6,0,0,5.73,0.97,1.62,0,0,0,0,0,2.28,0,0,6.15,103.96,0,0.86,0.81,0,0,2.22,2.33,0.92,0,0,3.29,28.66,0,0,1.06,0,0
 24-34,0,0,0.68,3.32,0.93,0,38.89,0,0,0.65,1.28,0,1.98,2.35,0.62,0,0.65,17.31,0,0,13.64,216.65,1.8,0,4.57,0,0,14.87,0,0,0.79,0,0,38.25,0,0,0.85,0,0
 36-46,0,0,0,11.3,1.4,0,42.62,0,0,8.6,0,0,0.99,0,0,0,0.94,17.01,0,0,6.23,61.34,0,0,0.81,0,0,0.98,0,0,0,0,0,16.71,0,0,6.07,0,0
 48-58,0,0,0,2.38,3.1,0,38.65,0,0.41,4.77,0,0,0,0.37,0,0.38,0,17.7,0,1.62,6.5,51.95,0,0,0,0,0,4.04,0,0,0,0,0,5.62,0,0,1.04,0,0.48
 60-70,0,0,0,2.08,0.72,0,17.05,0.96,1.21,21.68,3.63,0,0,0,0,0,0,29.73,0,2.7,2.72,19.99,0,0,0.61,0,0,6.26,0,0,0,0,0,3.18,0,0,0,0,0
 72-82,0,0,0,0.65,0,0,5.19,0,1.46,9.37,0,0,0,0.68,0,0,0.79,27.05,0,12.27,5.69,33.79,0,0,1.97,0,0,2.08,0,0,0.64,0,0,6.95,1.36,0,5.23,0,0
 84-94,0,0,0,3.71,0.63,0,5.22,0,3.17,11.32,0,0,0,0,0,0,1.44,23.7,1.42,1.06,1.92,23.33,3.96,0,0.8,0,0,1.4,0,0,0,0,0,0,0,2.14,13.95,0,0
 96-106,0,0,0,4.87,1.27,0.66,18.41,0,0,10.36,0.97,0,0,3.02,0,0,0.7,22.37,0,1.33,3.44,14.9,0.62,0,2.37,0,0,3.06,0,0,0,0,0,0,0.81,0,1.32,1.44,0
108-118,0,0,0,8.54,5.2,0.63,8.46,0.45,1.26,18.59,0,0,2.01,4.33,0,0,0,53.33,0,3.83,3.75,38.57,0,0,0,0,1.78,7.82,0,0,0,0.69,0,0,0,1.1,8.39,0,0
120,0,0,0,2.3,0,0,9.09,0,2.48,47.66,1.14,0,0,5.1,0,0,0,67.46,0,3.51,2.64,48.74,0,0,0,0,3.42,2.57,1.53,0,0,0,0,0,0,0,6.18,0,0
