stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,78.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.78,180.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.18,10.74,0,3.99,0,0,0,16.7,0,0,0,0,28.75,0,0,0,0,0,0,0,0,0,0,0,95.98,4.85,0,0,30.24,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,19.75,0,18.85,0,0,0,75.3,0,0,0,0,10.34,0,0,0,0,0,0,0,0,0,0,0,711.32,5.72,0,0,76.19,0,0,3.78,0,0,0,9.32,0,0,0,0,0,0
 14-21,0,0,0.82,0,63.88,18.72,0,23.19,0,0,5.79,0,0,0,0,77.81,0,0,0,0,6.88,1.1,0,3.69,306.99,0.9,12.55,1.5,5,0,0,0,6.46,0.86,1.91,16.07,95.62,0,0,32.47,0,0
 24-34,0,0,1.31,0,17.46,19.59,0,233.11,0,2.06,16.94,0,0,1.06,0,66.22,0,0.73,0,0,29.45,0.83,2.21,15.2,1743.18,0.87,33.9,4.36,0,0,6.69,0,0,3.5,0,5.31,360.14,0,0,153.46,0,0
 36-46,0,0,0,0,14.63,0,0,884.06,0,5.96,13.73,0,0,1.21,1.37,23.01,0,1.52,0,2.88,38.55,0.56,1.94,14.86,3724.17,0,53.29,4.8,0,0,1.89,0,0,0,0,0,671.22,0,0,89.62,0,0.9
 48-58,0,0,0.68,0,22.24,3.07,0,1776.34,1.33,8.42,50.82,0.42,0.54,1.55,0.48,34.42,1.49,3.88,0,0,76.61,1.33,8.63,23.67,5668.53,1.29,24.16,6.6,0,0,4.16,0,0,0.38,0,0,926.33,0,1.15,80.86,0,9.31
 60-70,0,0,0,0,24.32,0,0,4731.68,1.99,1.48,90.66,5.79,0,0,7.3,30.81,5.02,3.49,0,10,171.54,0.8,3.91,32.32,7563.09,6.77,32.97,8.54,0,0,4.76,0,0,0,0,0,1475.47,0,1.4,85.25,0,5.37
 72-82,0,0,5.11,0,28.31,0.78,0,5416.36,1.67,15.95,216.77,0.51,0,0,7.29,39.39,2.92,5.69,1.68,0,204.64,1.82,41.97,43.52,7560.85,0,23.21,14.81,0,2.81,7.58,0,0,0,0.81,0,917.32,7.64,3.58,130.09,0.76,11.79
 84-94,0,0,1.41,0,79.98,7.06,0,3655.04,6.02,4.65,178.27,2.03,0,1.02,3.09,78.35,3.79,7.38,12.46,0,189.99,0.86,6.91,19.59,4998.07,0.65,13.49,10.93,0,0,10.44,0,0,0,0.69,0,590.92,0.71,10.79,162.14,2.14,0
 96-106,0,0,0.89,0,47.84,14.09,0,3323.89,4.02,1.67,160.7,2.2,0,0,3.28,44.87,2.76,12.58,24.09,0,138.77,11.14,8.62,13.07,4407.01,0.62,23.04,11.99,0,1.51,1.11,0,0,0,0,0,219.36,5.8,1.74,133.2,0,2.56
108-118,0,0,2.03,0,47.48,5.68,5.07,2586.82,1.11,5.5,119.61,2.66,0,0,9.09,66.03,10.06,6.65,2.14,0,143.13,7.69,9.79,3.83,4985.96,1.24,20.09,24.66,0,1.08,6.13,0,0,2.63,0.56,0,210.89,2.48,4.18,148.78,5.24,0
120,0,0,0,0,86.86,8.42,3.13,2025.51,9.94,0,270.13,2.74,0,0,0,39.24,3.6,8.32,19.08,0,140.57,0,17.71,22.13,8347.49,3.39,25.94,42.87,0,0,3.91,0,0,0,13.04,0,447.23,0,0,203.53,0,0
