stage,blastomeres,epidermis,erythrocytes,eye,hatching_gland,ionocyte,lateral_line,mucous,neural,paraxial_mesoderm,periderm
  3-4,58.38,0,0,0,0,0,0,0,0,0,0
  5-6,25.83,0,0,0,16.22,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,8.99,3.6,0
 10-12,0,0,0,0,3.11,0,0,0,14.29,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.9
 24-34,0,0,0,0,0,0,0,0,0.83,0,0
 48-58,0,0,0,0,0,3.13,0.68,0,0,0,0
 60-70,0,0,0,0,0,0,0,3.37,0,0,6.01
 72-82,0,0,0,1.1,0,0,0,0,0,0,0
 84-94,0,0.83,2.57,0,0,0,0,0,0,0,1.93
 96-106,0,0,0,0,0,0,0,0,0.99,0,0.95
108-118,0,0,0,0,0,0,0,0,0.9,0,3.07
120,0,0,0,0,0,0,0,0,1.33,0,2.18
