stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,22.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,6.64,0,0,0,0,0,0,0,0,0,0,4.3,0,0,8.77,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67,0,0,5.19,0,0,0,0,5.88,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.64,0,0,0,0,0,5.8,1.37,0,0,25.68,0,7.86,2.87,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.83,0.63,0,0,1.49,0,0,3.01,0,0.97,0.61,0,0,27.67,0.98,0.63,0,161.39,0.85,1.65,0,1.5,0,0,0,0
 36-46,0,0.95,1.22,0,0.89,0,3.13,0,0,0,0,0,0,5.14,0,0,0,0.77,0,0,0.71,21.29,6.43,0,0,356.64,0,5.42,0,1.15,0,0,0,0
 48-58,0,0,0.51,0,9.83,0.53,1.05,0,2.21,0,0,0.58,0,9.19,0,0,0,2.1,0.73,0,0.52,21.14,0.56,0,0,155.1,0,0,0,0,0,0,2.2,0
 60-70,0,0,0,0,10.17,0,0,0,0,0,0,0,0,21.92,0,0.72,0,7.25,0,0,0,21.5,1.17,0,0,154.08,0,0,0,0,0,0,0,0
 72-82,0,0,2.51,0,7.1,0,0,0,3.41,1.4,0,0,0.63,20.54,0.72,0,0.49,11.9,0.6,0,0.57,17.12,0.53,0,0,92.38,0,3.59,0,1.02,0,0,0,2.94
 84-94,0,0,7.55,0.69,16.72,0,0,0,0,0,0,0,0,90.72,0,1.78,0,24.51,0.73,0,1.8,7.01,1.28,0,0,260.62,0,0.59,0,0,0,0,0,0.74
 96-106,0,1.41,0,0.83,18.92,6.61,0,2.83,3.18,10.86,0,0.63,0,48.41,0,71.05,0,16.88,2.65,0.56,2.25,41.38,2.58,1.61,0,123.85,0.57,1.77,0,0.98,1.44,2.17,3.24,7.02
108-118,0,0,3.87,0,36.05,0.89,0,0,6.07,77.25,0,0,1.38,142.17,0,287.46,0,56.3,1.73,0,1.99,34.58,3.24,0.87,0,73.49,0.44,0,0,4.44,0,5.63,0,9.09
120,0,0,0,4.77,19.62,5.21,7.89,0,4.35,153.47,0,0,1.05,75.73,0,276.99,0,40.84,0,0,0,58.05,0,4.69,0,55.52,1.02,10.06,0,0,0,0,14.33,3.85
