stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,14.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.39,104.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,27.23,18.16,0,14.52,0,0,0,8.34,0,0,0,0,0,17.03,0,0,0,0,0,0,0,0,0,0,0,116.01,0,0,0,29.33,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.47,0,0,0,4.96,0,0,0,0,0,4.88,0,0,0,0,0,0,0,0,0,0,0,278.68,33.32,0,0,43,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,14.85,40.07,17.08,0,0,3.7,0,0,0,60.41,1.73,9.6,0,0,6.44,0,0,0,0,4.96,0,0,4.38,490.84,2.28,11.99,8.04,4.12,0.88,3.89,6.79,15.91,2.93,355.85,0,0,0,0,0
 24-34,0,0,4.02,0,20.7,0,0,37.51,0,2.62,0,36.1,0,1.34,0,0,5.03,0,3.53,0,1.23,12.86,2.52,0,4.15,1919.01,0,63.06,4.68,0,9.95,0,0,0.84,0,479.01,0,0,2.35,0,0
 36-46,0,0,2.33,0,2.7,0,0,85.7,0,4.21,0.65,47.28,0,0,0,0,0,0,1.06,0,0,2.27,10.05,0,1.68,2581.6,0,52.41,6.21,0,19.44,0,0,0,0,457.55,0,0,0,0,0
 48-58,0,0,0.96,0,15.34,0,0,275.58,0,0,0.54,81.88,1.12,0,0.67,0,3.69,0,0.4,2.22,0,10.42,2.09,0.52,2.98,2652.06,0,24.95,4.5,0,11.07,0,0,2.74,0,449.98,0,0,0,0,4.59
 60-70,0,0,9.02,0,38.14,0,0,599.79,0.65,0,0,82.75,3.18,0.66,0,0,0,0,8.95,0,0.88,12.66,0.65,1.72,5.05,2331.3,0,32.28,10.14,0,3.01,0,0,0,1.01,340.19,2.57,0,0,0,6.34
 72-82,0,0,5.38,0,85.53,3.3,0,609.74,0,0,3.1,92.3,7.84,0,0,0.5,0.62,0,1.28,0.57,2.32,28.45,0.66,0.9,5.44,2213.1,0,67,9.58,0,0.63,6.61,0,0,0,179.6,25.52,1.26,2.51,0,0
 84-94,0,0,20.44,0,61.56,0,0,342.37,0,0.78,0,60.83,15.09,0,0,0,0.68,0,2.09,0,8.01,16.99,2.96,3.76,3.58,1432.24,0,45.54,15.95,0,23.24,0,0,0.7,0,122.65,54.11,0.9,0,3.28,3.89
 96-106,0,0,2.67,0,53.55,3.16,0,298.57,0,0.61,0.84,89.85,13.96,0,0.96,2.03,2.1,0.72,10.03,29.67,0,27.07,0.97,4.04,0.81,1131.89,0,74.68,15.73,0,20.56,31.02,0,0,0.6,91.68,85.22,0,1.42,0.89,0
108-118,0,0,5.28,0,26.22,0,1.73,259.72,0,0.62,0,82.37,10.47,0,0,0.63,0,2.08,3.42,2.9,0,32,0,2.49,0,1307.87,0,35.55,15.81,0,10.92,0,0,5.99,0,41.87,70.39,0.69,1.57,1.71,0
120,0,0,7.28,0,48.5,0,0,323.33,0,0,0,176.02,30.94,0,0,6.73,0,0,16.23,5.48,0,11.32,0,1.45,3.31,1781.01,0,55.56,10.29,0,1.28,0,0,2.39,0,66.64,31.04,0,1.48,0,2.59
