stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,99.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.9,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,123.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.24,0,0,22.41,0,0,0,11.1,0,0,0,0,0,7.63,0,0,0,0,0,0,0,0,0,147.49,11.82,0,0,17.99,0,0,15.3,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.2,0,8.88,0,0,0,62.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322.31,0,0,0,189.78,0,0,0,0,16.85,0,0,0,0,0,0,0,0
 14-21,0,0,0.82,1.27,17.65,127.3,0,1.47,0,0,0,1.06,0.98,0,10.03,0,0.82,0,0,10.52,0,0,2.81,70.49,0.81,0,0,2.01,0,0,0,29.66,1.29,26.23,36.15,32.67,0,0,8.15,0,0
 24-34,0,0,1.05,0,1.26,66.06,0,14.26,0,0,1.91,1,0.77,0,13.09,0,3.61,0,0.95,5.18,0,0,4.29,132.93,0.68,4.77,0.82,0,0,3.7,0,1.04,0.81,2.46,8.7,31.12,0,0,16.94,0,0
 36-46,0,0,0.85,0,0.77,10.69,0,42.98,5,1.04,1.1,14.66,0.72,0,11.37,0,0,0.65,0,5.76,0.95,0,2.13,195.79,0.9,7.05,0.62,0,0,13.72,0,0,0,10.85,0.74,48.67,0,0,11.96,0,0
 48-58,0,0,0,0,2.22,2.8,0,134.02,0,0,0.86,13.55,0,0,0,0,0.38,0,0,7.11,0,0.38,3.05,168.63,0,2.66,0,0,0.53,3.9,0,0,0,4.44,0,22.45,0,0,7.52,0,0
 60-70,0,0,0,0,11.14,0,0,570.55,1.02,0.86,0,26.33,0.57,0,5.1,1.19,0,0,0,21.05,0,0,0,111.49,0,0.7,0,0,0,0,0,0,0,4.3,0,27.78,1.72,0.57,1.15,0,0
 72-82,0,0,0,0,9.79,22.12,0,1252.79,0.56,1.22,2.85,34.64,0,0.52,0,2.48,0.76,0,3.11,11.05,0,3.22,0.81,183.8,0,4.59,5.13,0,0,1.75,0,0,0.64,20.73,0,33.7,1.43,2.34,11.45,2.46,5.08
 84-94,0,0,0,0,16.06,23.34,0,1028.75,4.78,0.59,3.1,32.33,1.28,0,0.97,14.97,0,0.67,0,17.03,1.78,9.02,1.9,119.03,1.45,0.71,0,0,0,2.39,0,0,0,2.53,0,12.37,6.43,0,9.66,2.54,0
 96-106,0,0,2.46,1.03,9.61,30.1,0,1260.85,2.33,0,0,16.71,3.23,0,0,6.21,0.81,0,2.32,11.33,0,8.07,0,137.6,0,7.68,0,0,0.87,2.06,0,0,0,2.06,0,11.15,0.59,4.18,13.23,2.43,16.92
108-118,0,0,1.18,0,6.74,51.95,1.3,846.89,2.67,5.86,0,32.12,3.82,0,3.62,9.24,5.53,1.16,0.87,27.18,0,5.54,0,209.5,0,0.48,7.22,0,0,5.92,0,0,0,3.02,0,1.01,5.41,2.27,19.91,0,0
120,0,0,0,0,9.16,31.88,0,936.76,0,0,0,27.73,8.91,0,0,11.06,0,0,0,43,0,4.81,0,309.64,0,0,0,0,0,24.41,0,0,0,0,0,0,5.71,0,55.17,10.35,0
