stage,epidermis,erythrocytes,eye,glial,gut,immune,liver,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,11.1,0,3.57,0,0,0,0
 10-12,0,0,9.52,0,0,0,0,0,0,0,16.81,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0.94,0
 24-34,0,0,0,0,0,0,0,0,0,0.93,7.4,0,0,0,23.33,0.95,0
 36-46,0,0,0,0,0,0,0,0,0,0,3.32,0,0,0,18.84,0,0
 48-58,1.84,0,7.31,0.95,0,0.85,0,0,0,0,1.71,0,0,0,24.91,0.86,0
 60-70,0,0,0,0,0,0,0,0,21.45,0,1.64,0,0,0,55.88,0,1.46
 72-82,1.34,1.16,13,0,6.77,0,0,0,0,0,3.56,0,0,0,36.15,0,0
 84-94,0,0,1.12,0,2.86,0,0,0,0.68,0,7.62,0,0,0.59,121.61,0,0
 96-106,3.65,0,0,0.68,3.08,1.02,1.13,0,0,0,12.66,0,0,0,41.07,0,0
108-118,0,0,15.81,6.64,0,0,0,0.6,0,0,5.74,2.39,0,0,52.95,0,0
120,0,0,0,0,0,0,0,0,0,0,24,0,0,0,45.68,0,0
