stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,76.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,130.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.15,0,0,0,0,0,0,0,5.47,0,0,0,0,0,52.65,3.6,23.91,0,0,0
 10-12,0,0,0,8.47,0,0,0,0,0,0,0,0,0,0,102.93,0,20.55,0,0,0
 14-21,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.94,0,0,0,0,0,0,0,0,0.92,1.87,11.32,0,0,0,1.57,0.59
 36-46,0,0.72,0,1.05,0,0,0,0,0,0.93,0,0,0,0,7.07,0.64,0,0.64,3.09,0
 48-58,0,0,0,2.02,0,0,1.04,0,0,0,0,0,1.14,0,15.38,0,0,0,0,0
 60-70,0,0.59,0,0,0,0,0,0,0,0,0,0,1.46,0,6.15,0,0,0,1.17,7.24
 72-82,0,0,0,9.1,0,0.89,0,0,0,0,0,0,1.39,0,9.41,0,0,0,0,0
 84-94,0,0.59,0,0,0,0,0,0,0,0,0,0,0.6,0,1.34,0,0,0,0,0
 96-106,0,0,9.35,4.54,0,0,0.72,0,0,0,1.43,0.7,0,0,3.2,0,0,1.52,0,0
108-118,0,0,0,0,0.43,0,1.42,0,0,0,0,0,0,0,12.68,0,0,0.59,1.71,0.45
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0
