stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.49,138.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.41,114.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,10.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1,0,0,4.66,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.28,0,2.03,0,0,5.86,0,0,0,0,0,0,0,0,1.9,0,4.58,102.89,0,0,0,0,0,0.89,0,2.32,29.79,0,0,0,0,0
 24-34,0,0,8.66,0,0,0,0.6,0,0,4.58,0,0,0,0,0,0,0,0,3.35,0,2.45,515.89,0,2.63,0,0,0,0,0,0,54.19,0,0,2.55,0,0
 36-46,0,0,0,0,0,0,12.98,0,0,68.36,0,0.76,0,0,0,0,0,0,9.36,0,2.19,758.9,0,1.46,0,7.69,0,0,0,0,126.97,0,0,0,0,0
 48-58,0,0,0,5.98,2.12,0,81.91,0,0.44,104.12,0.58,0,0,1.1,0.39,6.72,0,0,6.11,0,3.71,877.06,0,0,0,4.11,0,0,0,0,113.53,0,0,0,0,0
 60-70,0,0,1.82,8.5,0,0,260.06,0,0,73.7,0,0,0,0,0,0,0,0,10.66,0,0.64,1239.82,0,0,0,0,0,0,0,0,87.05,0,0,0.84,0,7.94
 72-82,0,0,0,8.34,0.52,0,254.46,0,0.81,70.13,0,0,0.66,0.61,0,0,0.65,3.06,20.15,0,0.62,1201.9,0,0.78,0,0,0,0,0,0,68.13,0.53,4.58,0,1.73,0
 84-94,0,0,1.5,11.52,0,0,223.69,0,1.21,67.07,1.02,0,0,0,0,0,0,0.61,16.35,4.96,4.74,861.55,0,5.2,0,0,0,0,0,0,42.51,0,3.97,7.04,0,0
 96-106,0,0,7.02,2.66,5.3,0,229.17,0.57,0.57,67.3,0,0,0.99,0,0,0,0.75,7.3,20.5,0,0,842.49,0.85,1.16,0,0,2.06,0,0,0,25.21,2.04,2.89,0.75,0,0
108-118,0,0,1.97,10.83,0.46,3.48,212.4,0,0,93.19,0.61,0,0,0,0.57,2.11,0,2.84,11.45,1.38,0,860.37,0,1.88,0,0,0,0,1.88,0,19.13,0,8.53,0,0,0
120,0,0,4.41,9.66,0,0,161.41,0,0,111.63,0,0,0,0,0,0,0,0,19.42,4.57,0,1136.42,0,0,0,2.41,0,0,0,0,40.32,0,0,2.42,0,0
