stage,blastomeres,endoderm,epidermis,erythrocytes,fin_mesenchyme,glial,immune,mesenchyme,mural_cell,muscle,neural,otic,periderm,pgc,spinal_cord,xanthophores
  3-4,28.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,7.43,0,0,4.77,0,0
 10-12,0,3.62,0,0,0,0,0,0,0,0,12.34,0,0,0,0,0
 14-21,0,0,0,1.19,0,0,0,0,0,0,1.66,0.97,0,0,3.2,0
 24-34,0,0,0.62,0,0,0.68,0,0,0,0,10.8,0,0,0,1.26,0
 36-46,0,0,0,0,0,0,0,0,0,0.61,2.08,0,0,0,0,0
 48-58,0,0,0,0,0,1.27,0,1.14,0,0,4.34,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.82,1.38,0,0,2.66,0,0,0,0,0.99
 72-82,0,0,0,0,0,0,0,0.59,0,0,3.9,0.54,0,0,1.27,0
 84-94,0,0,0,0,1.02,0,0,2.3,0,0,0,0,0,0,5.4,0
 96-106,0,0,0,0,0,0,1.83,3.03,1.1,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.64,0,0.47,0,0,2.57,0,1.24,0,0,0
120,0,0,0,0,0,0,1.29,0,0,0,0,0,0,0,0,0
