stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,hatching_gland,iridophores,liver,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,xanthophores
  3-4,39.39,1601.98,0,0,0,0,0,0,0,0,0,0,0,0,16.81,0,0,0,0
  5-6,7.12,1038.21,0,0,0,0,0,0,0,0,64.1,0,0,0,18.27,0,0,0,0
  7-9,4.36,23.39,4.69,0,0,0,0,3.47,0,0,168.35,0,0,48.95,0,0,0,0,0
 10-12,0,0,0,0,3.11,0,0,0,0,0,27.12,0,0,10.7,0,5.33,0,0,0
 14-21,0,0,0,0.82,0,0,0,0,0,0,1.67,0,0,0,4.94,0,0,0.86,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0.73,0,0
 36-46,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,3.59,0,0,0,0,0,0.62,0,0,0,0
 72-82,0,0,0,0,0,0,0.7,0,0,0,0,0.49,0,0,0,0,0,0,8.31
 84-94,0,0,0,0,0,1.52,0,0,0,0.96,0,0,0,0,0.67,0,0,0,0
 96-106,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,15.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
