stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,18.89,188.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.78,119.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.02,0,0,0,0,0,0,0
  7-9,0,0,0,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.37,0,0,5.52,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.52,0,0,0,0,0,0,0,0,4.51,0,0,0,0,0,0,0,0,0,0,0,79.76,8.45,0,27.27,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.16,42.81,21.97,0,0,0,1.09,9.98,0,0,0,0,0,0,0,0,3.1,0,0,0.82,6.33,0.9,0,0,0,0,1.81,0,40.62,0,33.25,0,4.98
 24-34,0,0,0,0,9.32,9.51,10.77,0,0,1.29,0,2.19,0,0.69,0,0,0,0,0,1.67,16.59,0.74,0,5.63,26.27,0,0,0,0,0,0,0,2.84,0,213.66,0,9.98
 36-46,0,0,0,0,0,0,9.79,0,0,2.8,1.7,0,0,4.64,0,0,3.75,4.28,0,0.66,36.63,0,0.67,12.71,30.14,0,0,0,0,0,0,0,4.72,0,74.31,0,34.59
 48-58,0,0,0,0,0.54,0,10.12,0,0,20.08,10.77,0,0,4.04,0,0,11.49,1.47,0,3.19,54.46,0,0,4.09,18.84,0,0,0,0,0.5,0,0,4.77,1.25,75.48,0,22.04
 60-70,0,0,0,0,3.24,0,6.24,0,10.47,20.81,11.34,0,0,1.51,0.98,0,19.84,3.85,0,1.86,118.19,0,0,12.03,38.75,0,1.01,0,1.33,5.49,0,0,6.39,0,57.87,0.85,16.88
 72-82,0,0,0,0,0,0,21.16,1.78,0,24.02,34.22,0,1.02,3.09,0,0,22.48,17.56,0,0.49,186.58,0.5,10.59,10.26,79.4,0,0.49,0,3.22,33.95,0,0,2.73,1.57,85.86,18.1,31.27
 84-94,0,0,0,0,5,0,16.01,0.73,0,23.95,19.24,1.28,1.93,2.68,0,0,48.66,12.09,0,7.14,188.41,0,10.75,15.57,37.95,0,0,0,3.15,75.66,0,0,0,4.71,98.4,13.77,55.97
 96-106,0,0,0,0,5.98,3.43,25.66,0,1.53,20.15,41.77,0,0,11.66,0,1.14,60.16,13.27,2.52,1.97,186.63,3.03,4.15,13.91,77.28,0,5.44,0,1.03,72.38,0,0,1.43,4.93,101.15,17.23,53.9
108-118,0,0,1.22,0,3.9,0,20.82,4.33,0.5,32.33,42.86,0,0,5.77,2.05,0.72,72.65,9.86,0,6.9,250.52,0,13.75,24.84,87.55,0,2.46,0,8.23,56.85,0,0,7.73,8.61,92.85,34.76,73.37
120,0,0,0,0,2.49,0,10,0,2.33,10.96,65.96,0,0,12.68,0,0,59.72,9.43,0,0,196.54,0,0,15.11,77.44,0,4.49,0,0,13.85,0,4.78,0,2.24,162.16,67.98,14.51
