stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.24,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.87,92.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.8,0,0,8.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.24,0,0,0,16.33,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.28,0,0,0,0,37.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.6,7.65,0,0,26.98,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.8,0,14.2,0,0,0,0,3.31,1,0,0,0,0,0,0,0,2.16,0,0,2.2,30.79,0.92,0,0,0,0,2.72,1.65,0,0,2.95,6.11,0,0,0,0,0
 24-34,0,0,0,0,6.18,0,2.81,0.92,0,2.54,0,0,6.74,0,1.58,0,0.63,0,6.84,1.45,0,4.66,72.77,0,1.38,0.69,0,0,5.97,0,3.59,0,1.94,20.37,0,0,3.11,0,3.18
 36-46,0,0,0,0,2.56,0,8.27,0,2.06,19.43,0,0,0.95,0,0,0,1.61,0,11.48,0,0,1.26,46.28,3.05,0.79,1.06,0,0,21.02,0,0,0,0,28.39,0,0,8.55,0,1.13
 48-58,0,0,0,0,2.38,0,7.18,1.71,0.75,12.65,0,0,0,0,0,0,0,1.43,11.35,0,0,5.17,15.46,0,1.32,0,0,0,2.72,0,0,0,0,8.75,0,0,0,0,3.16
 60-70,0,0,0,0,4.13,1.86,25.56,2.33,1.62,10.5,1.86,4.08,1.38,0,0,0,1.22,0,26.92,0,0.84,1.7,46.55,1.31,0.7,0,0,0,28.78,0,0,0,0,4.6,0,0,3.24,0,1.29
 72-82,0,0,1.76,0,0.5,21.96,30.28,0.56,0,14,0.62,0,0.91,0,0.74,0,1.43,0,34.79,2.4,0,0.84,48.71,0,3.11,0,0,3.04,5.77,0,0,0,0,7.29,0.68,0,1.68,2.7,1.11
 84-94,0,0,0,0,6.7,36.17,26.83,2.02,0.99,19.64,6.27,0,0,0,1.52,0,0,0,20.73,2.15,1.79,6.42,31.86,0,0,1.09,0,0,28.42,0,0,0,0,3.39,0,0,0.98,3.63,3.94
 96-106,0,0,0,0,8.71,17.15,16.09,2.37,0,16.69,2.23,1.32,1.61,0,0.91,4.27,0.78,0.69,37.61,2.75,0.98,4.09,30.2,0,4.48,6.02,0,0,25.51,0,0,0.6,0,17.44,0,4.88,12.38,1,2.32
108-118,0,0,0,0,12.14,1.25,23.49,6.42,1.54,15.63,0,0,0,4.64,1.38,1.33,0,1.33,36,0,1.67,2.66,43.53,0,2.53,0.42,0,0.89,27.73,0,0,0,0,4.55,0,0,1.05,0,0
120,0,0,0,0,21.51,1.53,35.89,0,12.97,23.7,14.42,0,1.85,0,0,0,0,0,43.95,0,0,0,17.71,0,4.29,2.92,0,2.67,24.36,0,0,0,0,0,0,0,1.26,0,0
