stage,gut,liver,neural,periderm,pronephros,vasculature
 24-34,0,0,0,0.62,11.89,0
 36-46,0,0,27.11,0,1.48,0
 60-70,1.69,0,2.45,0,2.65,0
 72-82,0,0,3.35,0,5.35,0
 84-94,2.6,2.93,0,0,2.83,0
108-118,1,0,6.16,0,1.06,0
120,4.03,0,0,0,0,2.99
