stage,axial,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature
  7-9,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.07,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.44,3.67,0,0,0,0,0,0
 14-21,0,1.05,0,0,0,0,0,0,0,1.12,0,0,0,0.89,1.27,0,3.89,0,0,0,0,0
 24-34,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,4.71,0,48.37,0,0,0,0,0
 36-46,0,22.06,0,0,1.83,3.98,0,0,0,0,0,0.99,0,0,1.22,0,217.93,0,5.71,0,0,0
 48-58,0,0,0,0,2.28,3.15,0,0,0,2.29,0,1.77,0,0,14.77,0,169.2,0,0,0,0,0
 60-70,0,4,0,15.45,0,6.58,0,0,0,0.58,0,0,0,0,0,0,175.17,0,0,0.77,0,1.86
 72-82,0,0.53,0,50.63,0,0.93,0,0,0,0.55,0,2.27,0,0,9.42,0,69.62,0,1.43,0,0,0
 84-94,0,5.9,0,73.43,7.04,11.86,1.1,0.55,0,0,0,0,0,0,2.05,0,316.81,0.83,0,0,0,0
 96-106,0,2.6,5.31,25.5,0,2.16,0,0,0.59,0.94,1.56,1.14,0,0,0,0,179.89,0,0,0,0,0
108-118,0,1.16,0,46.65,0,8.91,0,0.71,0,2.04,0,2.56,2.39,0,3.03,0,166.3,0,0,0,1.06,0
120,0,2.88,0,23.22,0,7.93,0,0,0,1.35,0,0,1.11,0,1.48,0,113.09,0,0,0,0,0
