stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,828.41,16033.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749.37,0,0,0,0,0,0,0
  5-6,446.21,7188.35,0,19.66,0,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0,0,0,100.62,10.41,0,0,37.85,0,133.84,0,0,0,0,0,0,0
  7-9,39.67,37.11,0,103,0,0,55.17,0,0,0,0,0,35.31,0,0,0,0,0,0,0,0,1204.51,46.98,0,0,441.99,0,6.55,34.11,0,0,0,0,0,0
 10-12,0,0,0,14.61,0,0,4.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.51,36.16,0,0,36.92,0,0,39.64,6.24,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26,1.88,0,0,0,0,0,0,0,1.08,0,0,0,0
 24-34,0,0,0,0,0,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.71,0.7,0,0,0,0,0,0,0,13.47,0,0,0,0
 36-46,0,0,0,0,0,0,54.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.96,0,1.22,0,0,0,0,0,0,6.16,0,0,0,0
 48-58,0,0,0,0,3.56,0,227.77,0.9,0,0,3.02,0,0,0,0,0,0,0,0,0,0,37.85,0,0,0,0,0,0,0,0,9.85,0,0,0,0.38
 60-70,0,0,0,0,4.18,0,3295.2,0,0,0,1.61,0,0,0,0,0,8.58,0,4.16,0,0,51.17,0,0,0,0,0,0,0,0,4.38,0,0,0,0
 72-82,0,0,1.01,0,33.38,0,5814.75,0,0,1.07,43.84,1.21,0,0,0.5,0.9,0.57,5.32,6.62,0,3.13,162.83,0,0.91,0,0,0,0,0,1.27,0,1.11,2.26,0,0
 84-94,0,0,1.19,0,5.83,4.88,3592.44,0,0,2.27,69.33,0,0,0,0,0.61,0,0,14.69,0,3.42,164.51,0,6.49,0.72,0,0,5.3,0,0,4.92,0.64,9.39,1.16,0
 96-106,0,0,0,0,16.72,0,4429.9,0,0.79,0,56.8,0,0,1.61,6.35,0.59,0.81,11.95,8.02,0,0,161.71,0,0,1.78,0,0.97,2.06,0,1.05,0,2.46,0,0.59,6.89
108-118,0,0,0,0,25.8,0.85,3407.3,0.65,0,0,38.18,0.45,0,0,1.27,0,0,0,12.13,1.5,1.64,66.14,0,0,8.49,0,0,0,0,0,8.04,0,0.96,0,2.33
120,0,0,0,0,10.19,0,1660.33,1.99,0,6.64,44.13,0,0,0,0,0,0,0,8.72,0,0,135.31,0,0,2,0,0,10.92,0,0,0,0,0,0,0
