stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.98,173.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.56,35.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.44,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,11.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.87,0,0,0,7.68,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.91,1.06,1.77,0,0,0,0,0,0,0,0,0,0,0.85,2.45,0,0,1.73,17.72,0,0,0,0,0,0,0.86,3.86,0,3.38,4.08,0,0,0,0,0
 24-34,0,0,0,1.28,0,3.45,0,0,0.68,4.72,0,0,0,0,0,0,0,1.21,0,0,0,144.13,0,8.26,0,0,12.16,0,0,4.79,0,0,31.12,0,0,0.66,0,0
 36-46,0,0,0,1.07,0,27.47,0,0,0,8.1,0,0.75,0,0,0,0,0,7.08,0,0,0,315.93,0,2.87,0,0,15.77,0.81,0,0,0,0,40.17,0,0,0,0,11.99
 48-58,0,0,0,9.96,0,45.02,0,0,3.59,8.56,0,0,0,0,0,0,0,8.14,0,1.82,8.51,538.95,0,2.63,0,0,12.34,0,0,0,0,0,51.55,0,0,0.37,0,15.51
 60-70,0,0,0,0,1.45,154.46,0,3.43,0,33.1,0,0,5.95,0,2.55,0,0,19.51,0.73,1.6,0,949.49,0,7.99,0,0,12.91,0,0,0,0,0,60.94,0,0,1.05,0,8.54
 72-82,0,0,0,9.43,0.68,203.58,0,0,9.9,30.03,0,0,0.72,0,2.16,3.08,0,10.81,0,1.19,0.53,967.28,0,5.61,0,0,9.05,0,0,0,0,0,78.27,0.53,0.56,6.11,0,9.71
 84-94,0,0,0,4.91,0,144.09,0,0,1.39,36.02,0,0.63,4.35,0,6.4,0,0,11.2,2.4,2.39,0.69,739.43,0,4.35,0.76,0,24.04,0,0,1.26,0,0,35.76,0,0,1.33,0,1.41
 96-106,0,0,0,5.13,0,165.12,0,0,0,21.08,1.5,1.39,4.21,1.71,2.08,0,1.03,23.7,1.13,2.66,0,506.68,0.62,9.46,0,0,30.5,0,0,0,0.7,0,20.76,0,0,0,0.61,0
108-118,0,0,0.74,7.5,1.45,122.39,0.98,0,0,27.76,0,0,2.06,2.19,4.46,0,1.97,15.04,0,4.64,3.6,744.43,0,7.69,9.61,0,17.25,0,0,1.49,0,0,11.06,0,0,6.76,0,9.71
120,5.65,0,0,12.23,2.63,147.26,0,0,2.41,49.02,1.62,0,10.43,1.28,0,0,0,43.84,0,0,0,1389.01,0,15.77,3.04,0,11.91,0,0,0,0,0,20.97,0,0,4.28,0,0
