stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
 14-21,0,2.82,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0.81,0,1.84,1.06,0,0,0
 24-34,0,1.98,0,0,0,0,0,0,0.98,0,0,0,0,1.75,25.34,0,0,6.61,0,0,0,15.16,0,0,0
 36-46,0,1.4,0,0,3.78,0,2.58,0,0,0,0,0,1.29,0,28.71,0,0,2.72,0,0,0,5.45,0,0,0.57
 48-58,0,0.97,0,0,5.8,0.42,2.29,0,0,0,0.48,0,4.23,0.61,43.56,0,1.71,7.02,0,0.95,0,9.67,0,0,0
 60-70,0,1.52,0.76,0,25.86,0,0,0,0,0,0,0,2.28,0,62.23,1.83,0,4.52,0,0,0,15.79,0,0,0
 72-82,0.68,0.78,0,0,12.93,0,5.43,0.54,0,1.02,0,0,4.82,0,43.35,0,0,2.72,0,0,0,1.43,0.78,0,0
 84-94,0,0.61,0,1.52,10.56,0,1.6,0,0,0,0,0,1.79,0.82,18.95,0,0,6.69,0,0,0,1.23,0,0,0
 96-106,0,0,5.34,0,2.47,0,0,0,0,0,0,0,5.77,0,13.78,0,1.35,1.84,0,0,0,0,0,2.64,0
108-118,0,2.19,0,0,6.4,0.94,2.71,0,0,0,0,0.61,1.92,0,23.81,0,0,7.98,0,0,0,0,0,0,0
120,0,5.13,0,0,6.59,0,0,0,0,0,0,5.95,12.89,0,12.12,0,0,2.27,0,0,0,0,0,0,0
