stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,muscle,neural,notochord,otic,periderm,spinal_cord,vasculature,xanthophores
 14-21,0,3.76,0,0,0,0,0,0.84,1.04,0,0,0,0,0,0,0,0,5.49,0
 24-34,0,0.62,0,0,0.78,0,0,0,10.52,0,0,0,5.56,0,1.28,0,2.46,51.65,0
 36-46,0.79,0,0,0,0,0,0,2.43,29.73,0,6.31,0,3.53,0,0,6.82,0,5.81,0
 48-58,0,2.44,0.52,0,0,1.15,0,0,28.71,0,0,0,8.16,0,0,3.83,0,14.69,0
 60-70,0.6,0,0,0,0,0,1.06,1.64,31.88,0,2.94,0.81,0,0,0,0,0,2.8,0
 72-82,0,4.38,4.53,0,0,0.91,0.85,1.74,41.79,0,4.82,0,0.8,0,0,0,0,4.67,0
 84-94,0,2.77,0.65,0,0.94,0,0,2.14,60.99,0,2.96,0,6.11,0,0,0,0,7.87,0
 96-106,1.09,3.33,17.24,0,0,0,0,1.23,68.02,0.87,7.51,0,7.85,0,2.13,0,0,10.04,0
108-118,0,5.42,0.43,0,0,0,0,1.26,55.97,0,4.51,0,6.18,0,0.71,1.73,0,6.29,4.35
120,1.58,8.22,0,2.43,0,0,0,0,102.33,0,0,0,4.5,2.47,0,0,0,8.11,0
