stage,blastomeres,epidermis,erythrocytes,fin_epithelia,gut,immune,ionocyte,mesenchyme,mucous,neural,olfactory,periderm,taste,vasculature
  3-4,27.55,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0
 24-34,0,0,0,0,0,0.73,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.52,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.66,3.11,0,0,0
 60-70,0,0,0,0,0,0,0,0,1.56,0,0,0,0,0
 72-82,0,0,0,0.81,0,0,0.63,0,1.31,0,0.91,0,4.68,3.48
 84-94,0,0,0,0,0.73,1.89,1.18,0,4.16,1.14,0,2.23,7.17,0
 96-106,0,0,0,0,0,1.32,0.81,0,4.21,0,0,1.46,40.67,0
108-118,0,0,0,0,0,0.96,0,1.54,0,0,0,3.17,11.89,0
120,0,16.77,9.23,1.37,0,4.69,0,0,0,0,0,52.29,9.94,0
