stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,immune,iridophores,melanocytes,mesenchyme,neural,otic,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
 14-21,0.83,0,0,0,0,0,0,0,0,0,0,4.15,0,0,0,0,1.96,0,0,0
 24-34,0,0,0,0.75,0,0,0,0,0,0,0,8.57,0,0,0,0.74,2.78,0,0,0
 36-46,0,0,0,1.22,0,0,0,0,0,0,0.77,7.04,1.46,0,0,0,0,0,0,0
 48-58,0,0,0,2.26,0,0,0.91,0,0,3.48,0.56,19.75,0,0,0,0,3.1,0,0,0
 60-70,0,0,0,27.95,1.23,1.25,0,0,2.82,0,0,23.4,0,0,0,0,3.55,0.81,0,0
 72-82,0,0.98,0,29.59,0,0.79,0,0,0,0,0.59,29.85,0,0,0,0,3.49,0,0,0
 84-94,0,2.37,0,36.54,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
 96-106,0,1.05,8.95,14.45,0,7.75,0,0.59,0,0,1.29,9.2,0,0,0,0,0,0,0,1.24
108-118,0,0,1.98,39.76,0,0.66,0,1.5,0,0.9,5.82,8.91,0,0,0.69,0,5.57,0,0,0
120,0,0,0,52.54,0,10.55,0,2.36,0,0,0,90.66,0,9.01,0,0,0,0,3.81,0
