stage,blastomeres,epidermis,eye,fast_muscle,glial,immune,lateral_line,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord
  3-4,23.48,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.31,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,4.02,6.75,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,5.15,3.3,0
 14-21,0,0,0,0,0,0,0,0,0,3.11,0,0,1.12
 24-34,0,0,0,0,0,0,0,1.85,0,3.58,0,0,0
 36-46,0,0,0,0,0,0,0,4.82,0,23.04,0,0,0.96
 48-58,0,0,0,0.58,0.7,0,0,0.52,0,4.99,0,0,0
 60-70,0,0,4.27,0,0.63,0,0,0.9,1.26,13.28,0,0,0
 72-82,0,1.52,4.31,0,0,0,0,0,1.93,8.77,0,0,0
 84-94,0,0,1.06,0,0,0.75,0.61,0,0,5.41,0,0,0
 96-106,0,0,13.18,0,0,0,0,0.71,0,4.69,0,0,2.27
108-118,0,0,16.59,0,0,0,0,0.89,0,1.98,0,0,0
120,0,0,6.67,0,0,0,0,0,0,3.3,0,0,0
