stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.66,326.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.36,0,0,0,0,0,0,0,0,0
  5-6,47.48,1063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.19,0,0,0,0,0,8.88,0,0,0,0,0,0,0,0,0
  7-9,9.97,29.04,41.74,0,0,28.49,0,0,0,0,0,21.88,0,0,0,0,0,0,0,463.1,0,0,0,148.82,0,0,5.5,0,0,0,0,0,0,0,0
 10-12,0,22.1,7.2,0,0,13.95,0,0,0,0,0,8.61,0,0,0,0,0,0,0,353.8,0,0,0,129.37,0,0,0,3.96,0,0,0,0,0,0,0
 14-21,0,0,1.1,4.18,0,0,0,0,0,5.85,0,0,0,0,0,1.76,2.08,0,2.7,42.21,1.29,1.07,0,0,0,0,0,3.18,0,0,4.83,9.86,0,0,0
 24-34,0,0,0.86,0.66,0.73,11.7,0,2.52,0.74,2.16,0,0,0,0,0,0.71,4.15,0,2.09,123.69,4.94,0.73,2.52,0,0.99,6.76,0,0,4.39,0,1.08,25.22,1.69,0,0
 36-46,0,0,0,2.56,0,15.52,0,0,0,6.3,0,0,0,0,0,0,8.27,0,0,121.25,0,0.61,1.01,0,0,12.28,0,0,0,0,0,38.51,0,0,0
 48-58,0,0,0,3.07,0,24.64,0,0,0,10.11,0,0,0,0,1.03,0,13.23,0,2.77,122.26,0,2.58,0,0,0,5.7,0,0,0,1.71,0,20.07,3.43,0,0
 60-70,0,0,0,7.97,0,47.75,0,0,0,3.26,0,0,0,0,0,0,25.53,0,1.13,170.5,0,0,0.86,0,0,0,0,0,1.54,0,0,15.98,1.59,0,0
 72-82,0,0,0,2.09,0,42.57,0,0,0.64,6.18,0.53,0,0,0,0,1.19,17.97,0,0.59,87.65,0,8.77,0,0,0,3.32,0,0,0,0,0,10.71,6.56,0.92,0
 84-94,0,0,0,2.11,0,26.53,0,0,0,2.49,0,0,0,0,0,0,23.84,2.67,0.86,73.32,0,5.16,0,0,0,6.58,0,0,0,0,0,15.19,1.75,0.6,0
 96-106,0,0,0,1.3,0.8,23.08,0,0,1.62,6.56,0,0,0,0,0,0,14.09,1.34,0,49.91,0,0,0.6,0,0,6.7,0,0,0,0,0,7.25,0,0.91,0
108-118,0,0,0,7.52,0,29.6,0.58,0,0,2.66,3.19,0,0,0.52,0.43,0.84,22.58,0,1.53,73.51,0,0,0,0,0,10.32,0,0,0,0,0,2.24,1.51,0,2.91
120,0,0,0,5.77,0,27.63,0,0,0,12.72,0,0,2.09,6.22,3.78,0,47.72,0,0,134.92,1.18,0,7.86,0,0,4.52,0,0,1.83,0,0,10.98,0,0,0
