stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,hatching_gland,heart,ionocyte,iridophores,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,186.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0,0
  5-6,29.8,179.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,12.37,0,0,0,0,0,0,0
  7-9,3.69,0,0,4.7,0,0,0,10.36,0,0,0,3.89,0,0,0,0,0,88.69,0,0,56.73,0,5.11,0,0,0,0,0,0
 10-12,0,7.57,0,6.56,0,0,0,3.98,0,0,0,0,0,0,0,0,0,102.5,0,0,12.55,0,0,0,3.29,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,1.06,0,3.85,0,0,0,0,0,2.2,0,4.27,0,0,0
 24-34,0,0,0,0,0,0,0,1.06,0,0.67,0,0,0,0,0,0,1.02,44.76,0,0,0,0,0,0,0,5.04,0.77,0,0
 36-46,0,0,0,0,0,0,0,17.23,0,0,3.81,0,0,0,0,0.56,0.58,128.72,0,0,0,0,0,0,0,17.6,1.33,0,1.12
 48-58,0,0,0,0,0,0,0,40.69,0,0,1.7,0,0.85,0,0,0.4,0,106.67,0,0,0,0,0,0,0,16.41,0,0,1.47
 60-70,0,0,0,0,0,0.58,0,90.44,0,0,5.03,0,0,0,0.98,1.44,0,147.14,0,0,0,4.81,0,0,0,22.15,0,0,0
 72-82,0,0,0,0,0.55,5.17,0,92.82,0,0,10.34,0,0,0,0,0.5,0,134.13,0.97,0,0,0,0,0,0,8.31,0,0.56,0
 84-94,0,0,0,0,0,24.26,0,79.27,0.57,0.89,7.07,0,0,0,15.45,0,0,99.45,0,0,0,0,0,0,0,3.63,0,0,0
 96-106,0,0,0,0,0,15.89,3.72,45.6,0.87,0,5.59,0,0,0,2.73,0,0,122.42,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,13.74,0,18.82,0,0,2.03,0,0,0.67,8.39,5.71,0.48,102.19,0,0,0,0,0,0,0,5.68,0,0,0
120,0,0,3.73,0,2.22,11.09,0,22.47,0,0,9.34,0,0,0,0,0,0,127.39,5.76,5.75,0,0,0,0,0,0,0,0,0
