stage,epidermis,erythrocytes,eye,fast_muscle,glial,heart,immune,iridophores,mesenchyme,muscle,neural,paraxial_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.39,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,15.58,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,6.12,0,0,1.04,0,0
 36-46,0,0,2.38,2.81,0,5.94,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.27,0.88,0,0,0,0,0,3.53,0,0,0,0.47,0
 60-70,0,0,2.69,10.35,0,0,0,0,0,0.88,0.95,1.62,0,0,0,0
 72-82,0,0,2.08,6.64,0,0,0,0,5.48,1.26,9.32,0,0,0,0,0
 84-94,0,3.13,7.77,22.64,0,0,0,0,0,2.24,1.96,0,0,0,0,1.15
 96-106,0,0,0,23.45,0,0,0.66,0.95,2.32,0,8.07,0,0,0,0,0
108-118,0,0,0,23.15,0,0.44,0,0,1.82,2.23,4.22,0,1.49,0,0,3.89
120,3.56,0,0,19.44,0,1.15,0,0,0,0,0,0,1.52,0,0,14.8
