stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,7.96,0,0,0,0,0,0,0,4.13,0,0,0,0,0
 14-21,0,1.45,1.03,0,0,0,0,0,0,0,290.21,0,20.3,0,0,3.44,0.81,0,0.82,0,0,0
 24-34,0.62,0,203.33,1.74,0,0.62,0,0,0,0.92,992.87,0,32.6,2.35,0,4.04,48.49,0.84,0,4.33,5.81,5.34
 36-46,0,1.68,0,1.01,0,0,0,0,0,0,578.45,0,8.73,1,0,0,8.82,0,0,1.66,1.64,1.23
 48-58,0,0.73,0,0.55,0.65,0,2.68,0,0,0,317.04,0,7.12,0.56,0,0,19.73,0,0,0.65,1.69,0
 60-70,0,3.91,0,2.08,0,0,3.56,0.78,0,0,117.51,0,0,0,0,0,5.17,0,0,1.27,0.88,0
 72-82,0,1.59,0,1.59,0,0,0,0,0,0,65.36,0,0.81,0,0,0,5.72,0,0,3.06,0,0.62
 84-94,0,4.7,0.59,0,0,0,0,0.57,0,0,22.25,0.82,1.81,1.82,0,0,0,0,0,9.57,0,0
 96-106,0,3.77,0,0,0,0,0,0,0,0,30.76,0,0,1.53,0,0,2.27,0,0,15.83,0,0
108-118,0,28.83,0,1.72,0,0,0.62,0.65,0,0.43,20.69,2.82,0,9.23,1.08,0,2.3,0,0,35.79,0,11.76
120,0,104.35,0,15.9,0,0,0,1.09,0,0,20.47,10.42,0,4.94,15.43,0,0,0,0,39.56,0,343.2
