stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,81.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.9,0,0,0,0,0,0
  5-6,0,82.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.16,0,0,0,0,0,0
  7-9,0,0,10.58,0,0,67.91,0,0,0,0,30.3,0,0,0,0,0,0,0,0,237.03,5.07,12.37,0,65.54,0,0,0,0,0,0
 10-12,0,0,0,0,0,13.38,0,0,0,0,18.65,0,0,0,0,0,0,0,0,270.06,0,19.97,0,0,0,0,0,0,0,0
 14-21,0,0,0,33.11,0,0,0,0,0,0,0,1.52,0,0,0,0,0,0,1.12,5.61,0,0,0,2.38,0,0.84,0,0,0,0
 24-34,0,0,0,20.18,0,0,0,2.31,0,0,0,0,0,0,0,0,0,0,0.67,10.79,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,4.85,0,0,0,2.26,0,0,0,0.57,0,1.79,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,16.33,0,0,0.6,2.82,0,0,0,1.27,0,0,0,0,3.76,0,0,0.37,0,0,0,0,0,0.53,0,0,2.96,0
 60-70,0.81,0,0,14.15,0,0,0,0,0,2.67,0,0,1.74,0,0,5.52,0,0.78,0,0.97,0,0,0,0,0,0,0,2.29,0,0
 72-82,0,0,0,5.13,0,0,0,0,0,3.09,0,0,0,0,0,0.74,0,6.19,0,10.84,0,0,2.17,0,0,0,0.88,0,0,0.75
 84-94,0,0,0,22.94,0,0,0,6.85,3.86,5.25,0,0,4.01,0,0,0.85,0,3.17,0,9.45,0,0,0,0,0,0,0.55,0,0,0
 96-106,0,0,0,24.07,2.52,6.06,3.09,10.45,0,5.68,0,0,0,0,0,0,0,0,0,16.11,0,0,0,0.86,0,0,0,1.03,0,3.01
108-118,0,0,0,33.65,0,3.26,0,9.78,0,9.45,0,0,1.09,0,1.68,14.1,0,0,0,14,0,0,0,0,0.43,0,3.24,2.05,1.4,0
120,0,0,0,60.14,0,0,0,1.15,0,10.37,0,0,5.52,0,0,9.52,0,0,0,25.16,0,0,0,0,0,0,0,0,0,8.36
