stage,axial,blastomeres,epidermis,eye,glial,immune,mesenchyme,neural,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,39.28,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.5,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,7.69,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.92,0,0,0,0,0
 14-21,0,0,1.35,0,0,0,0,1.05,0,0,1.85,0.87,0
 24-34,0,0,0,0,0,0,0,6.66,0,0.69,0,0,0
 36-46,0,0,0,0.8,0,0,0,0.86,2.33,0,0,0,0
 48-58,0,0,0,1.21,0,0,0.52,2.15,0.77,0,0,0.53,0
 60-70,0,0,0,0.58,0,0,0,1.82,0,0,0,0,0
 72-82,0,0,0,5.68,0,0,2.53,2.85,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.35,0,0,0,0,2.17
108-118,0,0,0,3.59,0,0.49,2.51,0,0,0,0,0,0
120,0,0,0,0,8.53,0,0,0,0,0,0,0,0
