stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,ionocyte,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,86.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.01,0,0,0,0,0,0,0,0,0,0,0,0,14.14,0,0,0,0,0,0,0,0,0,0
  7-9,0,13.26,0,0,0,0,0,0,0,0,0,0,0,16.81,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,21.12,5.7,0,19.09,0,0,0,0,0,0,0
 14-21,0,0,129.74,0.96,2.27,0,0,2.05,0,0,0,1.04,10.57,16.22,4.13,1.14,0,0,4.64,2262.12,152.87,2.94,0,0
 24-34,0,0,15.44,0,0.71,9.82,0.73,0,0.79,0.83,0,0,31.87,38.98,0,0,0,3.86,0,739.98,54.24,1.56,2.37,2.07
 36-46,0,0,1.25,0,1.33,25.71,1.97,0,0,0,0,1.31,5.17,8.21,0,0.8,7.09,0.64,0,131.7,4.06,1.87,1.01,0
 48-58,0,0,0,0,1.18,2.74,0.63,0,0,0,0,2.47,2.2,3.67,0,0,0,9.33,0,8.99,0,1.32,0,0
 60-70,0,0,0,0,0,1.93,0,0,0,0,0,0,0.94,0,0,0,0,3.37,0,1.76,0,0,0,0
 72-82,0,0,0,0,0,0.59,1.83,0,2.16,0,0.67,7.36,1.1,48.17,0,0,0,3.1,0,1.08,0,1.01,2.77,0
 84-94,0,0,0.63,0,3.16,4.69,0,0,2.3,0,0,11.8,4.33,0,0,0,0,6.16,0,1.82,0,0,0.63,0
 96-106,0,0,1.49,0,0.57,0,5.23,0,4.95,0,1.33,15.5,2.93,89.02,0,0,0,8.77,0,0,0,0,1.9,0
108-118,0,0,2.81,0,0,0,2.4,0,6.85,0,0,31.64,2.95,13.6,0,0,0,1.61,0,2.33,0,0,7.73,0
120,0,0,1.32,0,0,0,2.35,0,9.18,0,0,25.18,0,12.1,0,0,0,0,0,0,0,0,0,0
