stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,61.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,54.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.79,0,0,3.68,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63,0,0,0,0,0,6.56,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19,0.86,0,0,0,0,0
 24-34,0,0,0.66,0,0,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0.61,70.31,0,0,0,0,5.14,0,0,0,21.72,0,0,0,0
 36-46,0,0,0,0,0,0.85,1.71,0,0,0,0,0,0,0,0,0.67,0,0,0,209.02,1.48,0,0,0,0,0,0,0,37.01,0,0,0,0
 48-58,0,0,3.95,3.02,0,27.3,0,0,7.48,0,0,0,0,0,0,15.61,0,0,0.6,561.62,0.96,1.73,0,0,0.56,0,0,0,71.36,0,0.73,0,0
 60-70,0,0.62,0.99,0,0,101.01,0.94,0,3.6,0,0,0,0,0,0,3.96,0,0,0.6,1012.85,1.98,2.36,0,0.66,8.46,0,0,0,93.67,0,0,0,4.4
 72-82,0,0,11.55,12.8,0,163.73,0,0,13.15,0,0,0,0.49,0,0.8,38.87,1.8,0,2.06,1098.1,0,1.34,0,0,0,0,0,0,110.44,0,1.13,4.01,0
 84-94,0,0,1.73,10.84,0,107.8,0,0.77,11.18,0,0,0,0.73,0.69,0,10.22,0,0.6,0,689.6,2.33,1.83,0,0,1.3,0,0,0,49.18,0,5.95,0,0
 96-106,0,0,1.89,10.11,6.8,139.9,0,0,9.82,0,0.58,2.06,0.91,2.03,4.24,22.87,1.83,0,0,524.74,0,0.63,0,0,4.37,0,0,0,54.02,0,0,0,0
108-118,0,0,0.71,4.52,0,149.02,0,1.13,6.14,0.71,1.5,0,0,0.53,4.79,3.94,0,0,2.19,684.39,0,0,0,0,4.74,0,0,0,17.03,0,0.98,0,0
120,0,0,0,27.95,0,107.19,0,0,30.03,0,0,0,0,0,1.37,25.35,0,0,0,793.64,0,7.82,0,0,0,0,0,0,41.56,6.47,0,6.74,0
