stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,9.94,325.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.18,0,0,0,0,0,0
  5-6,9.81,505.53,0,0,0,0,0,0,0,0,0,0,0,19.96,0,0,23.33,13.25,0,0,0,0,0,0
  7-9,3.75,0,4.57,0,0,8.63,0,0,0,0,0,0,0,138.84,5.55,0,44.6,0,0,0,0,0,0,0
 10-12,0,6.14,25.12,0,0,0,0,0,0,0,0,0,0,79.31,0,0,26.8,0,0,8.01,0,0,0,0
 14-21,0,0,0,5.8,1.77,0,0,1,0,0,0.85,0,1.77,24.21,1.88,0,1.09,3.29,3.63,0,4.38,10.54,1.23,0
 24-34,0,0,0,3.4,0,5.65,0,1,0,0,7.61,0.81,1.35,36.81,1.04,0.62,0,9.74,0,0,0.77,13.73,0.71,0
 36-46,0,0,0,0,0,1.62,0,0,0,0,1.29,0,0,4.39,0,0,0,6.51,0,0,0,1.96,0,0
 48-58,0,0,0,0,0,5.73,1.61,0,0,0,2.33,0,0.58,9.2,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.95,0.82,0.65,0,0.82,0.96,0,3.17,0,0.71,0,0,0,0,0,0
 72-82,0,0,0,1.18,0,4.68,0.75,0,1.4,0,1.4,0,0,10.84,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,8.68,0,2.08,1.34,0,0,0,0,0,0,5.1,0.67,0,0,1.5,0,0,0,0,1.06,0.62
 96-106,0,0,0,0,0,0,2.81,0,2.87,0,2.32,0,0,0,0,0.79,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,3.01,1.33,0,3.33,0,0,0,0,3.29,1.78,0,0,0.44,0,0,0,0,0,0
120,0,0,0,0,1.46,0,6.92,0,0,0,1.49,0,0,2.06,0,0,0,0,0,0,0,0,1.23,0
