stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,0,47.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.49,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,10.12,0,0,7.66,0,0,0,0,0,0,0,0
 10-12,0,0,13.44,0,0,16.78,0,0,0,0,0,0,0,0,0,0,0,0,152.37,0,0,0,22.11,0,5.47,0,10.48,0,0,0,0
 14-21,0,0,1.3,6.43,0.86,1.19,0,0,0,0,0,0,0,0,0,0,1.12,0,24.87,0,0,0,0,0.92,0,2.07,0.94,1.81,5.84,0,0
 24-34,0,0,0,0.85,0,6.7,0,0,0,1.64,0,0,0,0,0,0,2.24,4.03,30.19,0,0,0,0,2.22,0,0,0,0,4.7,1.55,2.64
 36-46,0,0,0,0.71,0,5.2,0,0,0,1.5,0,0,0,0,0,0,1.62,0.67,49.33,1.06,0,0,0,0,0,0,0,0,13.8,0,0
 48-58,0,0,0,3.74,0,12.84,0,1.01,0.83,6.34,0,0,0,0,0,0,0.91,0.58,28.52,0.93,0,0,0,0,0,0,0,0,5.28,0,0
 60-70,0,0,0,2.03,0,24.85,0.99,0,0.93,2.61,0,0,0,0,0,3.98,6.02,0,17.47,5.29,1.78,2.13,0,0,0,0,0,0,8.26,0.72,1.82
 72-82,0,0,0,0,0,10.69,0,0,0.69,3.85,0,0,0,0,0,0,8.2,0,33.27,0,0,0,0,0,0,0,0,0,1.16,0,0
 84-94,0,0,0,0,1.87,5.2,0,1.41,0,0.95,0,0,0.56,0,1.61,0,11.69,0,5.65,0.69,0,0,0,13.01,0,0,0,0,0,0,0
 96-106,0,0,0,0,9.9,14.05,0,0,0,10.9,0,0.79,0,1,0,0,13.58,0,5.44,4.17,1.23,0,0,0,0,0,0.57,0,1.76,2.95,1.09
108-118,0,0,0,1.84,0,18.55,0,0,0,0.72,1.58,0,0,0,1.5,0,5.38,0,17.14,1.18,0,1.46,0,0.49,0,0,0,0,5.68,0,0
120,0,0,0,3.9,0,7.85,0,0,0,5.27,0,0,0,0,0,0,0,0,20.99,0,0,0,0,3.17,0,0,0,0,0,0,0
