stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,31.44,315.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.98,111.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.43,16.5,0,0,53.09,0,0,0,0,0,0,0,0,0,0
 10-12,0,20.37,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,205.65,0,0,0,107.4,0,5.33,0,14.53,0,3.28,0,0,0,0
 14-21,0,0,0,0.92,2.58,0.98,9.03,0,4.37,0.82,0,0,0,0,0,0,5.69,0,8.75,173.94,2.47,0,0,3.62,2.44,0,18.71,0,4.92,39.69,0,2.44,0,0
 24-34,0,0,0,0,1.35,0.8,24.14,0,0.69,0,0,1.85,0,0.63,0,0,27.52,0,5.53,228.36,1.49,0,1,0,4.76,0,0,0,0.85,41.55,0,2.01,0,0.72
 36-46,0,0,0,0,1.41,0,9.81,0,7.48,0,0,0,0,0,0,1.21,18.78,0,3.48,114.84,0,0,0,0,1.45,0,0,0,0,16.04,0,0,0,0
 48-58,0,0,0,0,2.04,0,36.8,0,6.74,1.35,0,0,0,0,0,0.58,28.79,1.27,4.71,115.94,0.45,0.4,0,0,4.24,0.65,0,0.61,0,13.54,0,9.85,0,0
 60-70,0,0,0,0,4.33,0.65,30.63,0,5.25,0,0,0,0,0.67,0,0,12.98,0,7.36,107.85,0,0,0,0,0,0,0,0,0,12.69,0,2.44,0,0.77
 72-82,0,0,0.5,0,6.08,0,4.89,0,10.94,0,0,5.81,4.62,0,0,1.52,17.49,0,3.38,67.14,0,1.18,0.51,0,3.45,0,0,0,0,14.68,0,0.96,0,7.71
 84-94,0,0,0,0,1.2,0,5.41,0.82,2.39,1.34,0,4.12,0,0,0.81,0,12.77,0,1.21,50.99,0,4.26,0,0,2.95,0,0,0,0,14.52,0,0.78,0.72,0
 96-106,0,0,0,0,6.48,0.67,6.4,1.41,0.72,1.63,0.66,2.82,0,0,0,0,7.9,1.11,0,23.86,0.62,1.2,0.73,0,1.27,0,0,0,0,3.83,0,1.86,0.86,3.29
108-118,0,0,0,0,4.93,0,9.33,0.6,5.01,0,0,3.49,0.58,0.43,0,0,11.21,0.69,0.76,54.21,0,0,0,0,5.54,0,0,0,0,3.58,0.71,5.53,0,2.24
120,0,0,0,0,6.37,1.87,3.01,0,0,1.41,0,15.23,0,0,2.13,0,10.82,0,2.09,76.52,0,0,0,0,1.01,0,0,0,0,0,0,4.08,0,0
