stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,0,33.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.8,41.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,19.28,0,0,0,0,0,0,0,0,0,0,3.56,0,0,0,0,0,0,0,39.94,0,0,0,19.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.1,3.39,0,0,36.31,0,5.62,0,0,0,0,0,0,0
 14-21,0,0,0.81,6.17,1.78,0,0.83,0,0,0,1.77,0,0,0,0,0,0,0,0,2.35,17.61,0.83,0,0,0,0,0,4.15,0,2.88,9.98,0,0,0
 24-34,0,0,0,0.87,0,0,6.18,0,0,0,1.97,0,0,0,0,1.29,3.07,0,0,2.54,72.89,0,0,0.63,0,0,0,0,0,0,13.34,0,0,0.73
 36-46,0,0,0,0.79,0,0,15.37,0,0,0,4.28,0,0,0,0,0,9.69,0.72,0,2.1,63.29,0,0,0,0,0,0,0,0,0,13.14,0,0,5.54
 48-58,0,0,0,0.54,0,0,41.91,0,1.4,0.78,7.97,0,0,0,0,0,3.2,0,0,1.37,80.13,0,0.85,1.22,0,1.21,0,0,0,0,14.21,0,0.91,0.45
 60-70,0,0,0,0,0,0,48.02,0,0,0,2.57,0,0,0,0,0,5.76,0,1.04,0.6,71.63,0,0,0,0,1.86,0,0,0,0,4.74,0,0,1.81
 72-82,0,0,0,0,0,0,80.72,0,0,0.77,7.91,0,0,0,0,0,4.74,0,0,0,51.83,0,0,0,0,2.23,0,0,0,0,0.89,0,0,1.54
 84-94,0,0,0,1.66,0,0,30.46,0,0,0,5.39,0,0,1.24,2.46,0,2.89,0,0,0,38.53,0,0,0.59,0,0.61,0,0,0,0,4.43,0.61,1.05,0
 96-106,0,0,0,0,0,0,48.94,0,0,0,3.69,0,0,1.13,0,0.65,3.44,0,0,0,28.82,0,0,0,0,0.6,0,0,0,0,0,0,0,5.21
108-118,0,0,0,2.15,0.49,1.65,23.17,0.54,0,0,0,0.63,0,0.95,3.58,0,4.74,0,0,0,45.7,0,0,0,0,0.72,0,0,0,0,4.6,0,0,2.65
120,0,0,0,0,0,0,63.53,0,0,0,21.49,0,0,4.77,0,0,0,0,0,0,69.73,0,0,0,0,0,0,0,1.83,0,7.14,0,0,0
