stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,24.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.48,0,0,13.16,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,27.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.97,0,0,0,0,0,1.46,0,4.69,0,0,3.31,7.42,0,0,0,0,0,0,0.99,0,0.91,0.94,0,0,6.5,0,0
 24-34,0,0.75,0,1.42,0.76,5.69,2.61,0.74,0,0.66,0,0,7.79,0,0,2.01,36.15,0.6,0,0,0,0,0,0,0,1.22,8.48,0,0,2.87,0,0
 36-46,0,1.69,0,0.64,0,1.41,1.85,2.73,0,0,0.75,0,5.2,0,0,0,48.88,0,0,0,0,0,0,0,0,0,9.71,0,0,0.61,0,0
 48-58,0,0.84,0,0.5,0,9.31,0,3.91,12.12,0.91,0.63,0,5.79,0,0,1.4,98.02,0,0,0,0,0.67,0,0,0,0,21.42,0,0,0,0,0
 60-70,0,1.48,0,0,0,125.26,1.36,3.43,3.38,1.21,0,2.38,3.15,0,0,1.68,210.29,0,0,0,0,0,0,0,0,0,25.92,0,0,0,0,0
 72-82,0,0.93,0,2.98,0,271.06,6.27,1.2,5.03,0.64,0,2.01,12.86,0,0,1.06,191.14,0,0,0,0.71,0,1.65,0,0,0,16.25,0.53,0.5,0,0,0
 84-94,0,0.56,0,3.79,0,282,1.4,0,9.05,0.86,1.22,7.22,14.65,0,3.33,0.65,93.99,0,0,0,0,0,0,0,0.55,0,11.92,0,0.57,0,0,0
 96-106,0,3.45,0,3.5,0,420.61,1.18,6.14,5.69,5.66,1.46,1.45,40.67,1.22,0,1.05,116.49,0.79,1.93,0,2.14,0.65,5.44,0,0,0,4.59,0,1.26,5.8,0.69,0
108-118,0,1.53,0,5.46,2.98,297.45,1.06,0.73,9.61,2.6,0,1.36,22.75,0,0,0.61,167.24,0,3,0,5.95,0,0,0,0,0,9,0,0,2.16,2.19,5.12
120,0,8.9,0,1.18,0,165.15,0,8.73,40.16,0,0,0,19.42,0,0,0,348.37,0,0,0,0,0,0,0,0,0,26.39,1.19,0,0,0,0
