stage,epidermis,eye,fast_muscle,fin_epithelia,glial,iridophores,mesenchyme,muscle,neural,notochord,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0
 24-34,0,0.85,0,0,0,0,2.17,2.41,5.78,0,0,0,0,0.69,0
 36-46,0,0,2.6,0,0,0,1.07,5.19,0,0.57,0,1.05,0,0,0
 48-58,0,0.55,0,0,0,0,0,0,2.86,0,1.3,0,1.46,0,0.56
 60-70,0,0,1.32,1.09,0,0,1.37,0,0,0,0,0,0,0,0
 72-82,3.35,0,0,0,0,0,0.79,3.19,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,6.49,0,0,0,0,0,0
 96-106,0,0,0,0,0.68,1,0,0.67,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,1.39,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,2.92,1.24,0,0,0,0,0,0,0
