stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,28.17,205.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.96,617.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.7,16.84,0,0,0,0,7.49,0,0,0,0,0,0,0,0,0,0
  7-9,4.39,10.09,0,3.34,0,0,17.39,0,0,0,0,0,10.27,0,0,0,0,0,0,0,0,0,0,0,336.76,3.96,0,0,116.1,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.32,0,24.77,0,0,16.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.27,3.88,0,0,95.69,0,0,0,6.92,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.93,40.39,10.65,15.5,0,0,0,4.49,2.95,0,0,0,3.66,0,0,0,0.88,23.88,0,0,11.47,373.19,1.74,0.95,5.55,4.08,0,4.84,45.43,2.86,0.86,26.77,119.77,0,0,2.41,0,0
 24-34,0,0,0,0.73,15.48,0,30.04,0,1.71,0,10.22,0,0,0.62,0,0.7,0,0,0,1.22,37.04,0,0,23.4,430.3,0.81,1.44,2.26,0,0,10.85,1.19,2.44,0,7.21,78.1,0,0,2.52,0,0
 36-46,0,0,0,0,2.5,0,69.98,0,0,1.24,13.96,0,0,0.63,0,0,0,3.76,0,1.74,23.69,0,0,7.05,407.26,0,2.77,2.99,0,0,9.92,0,9.88,0,0,65.74,0,0,1.78,0,4.42
 48-58,0,0,0,0,7.76,1.69,129.12,0,0.47,3.72,26.72,0.43,0,0.47,3.78,0,0,0.59,0.39,0,39.84,0.49,0.77,12.79,373.06,0,1.34,1.43,0,0,12.99,0,0,0,0,57.76,0,0,7.62,0,0
 60-70,0,0,0,0,17.01,0,180.59,0,0.86,0,24.07,0,0,0,0.78,1.4,0,0,0,0,28.59,0,0,11.73,297.56,0,1.23,1.74,0,0,7.09,0,0,0,0,34.54,0,0.94,0,0.71,3
 72-82,0,0,0,0,4.13,0.55,163.6,0,0,1.26,22.57,0.66,0,0.56,0.54,1.08,3.43,0,0,0,55.67,0,2.6,4.67,249.95,0.52,0.63,4.5,0,0,9,0,0,1.69,0,38.61,3.4,2.58,5.88,1.41,0
 84-94,0,0,1.26,0,12.28,0,97.26,0,2.36,1.27,22.41,2.72,0,0,0.86,4.15,0,0.9,0.56,0,41.98,0,2.56,5.67,215.17,0,0,2.11,0,4.32,4.06,0,0,0,0,19.72,0,0.69,7.57,2.72,8.65
 96-106,0,0,0,0,4.18,0,66.95,3.09,3.84,2.64,14.94,0,0,1.59,4.3,0,3.3,0.63,0,0,47.74,1.5,0,1.47,126.61,0.57,4.33,1.86,0,0,13.17,0,0,0,0,10.67,2.57,0.79,1.76,0,0.9
108-118,0,0,1.21,0,7.18,0,84.04,0,5.74,1.74,20.16,2.6,0,0,4.42,3.29,2.42,1.84,4.83,0,54.59,0,0,7.46,247.6,1.52,6.35,4.25,0,1.02,7.04,0,0,0,0,9.82,0,1.46,13.03,0,4.64
120,1.12,0,0,0,2.89,0,34.63,0,0,0,22.31,2.83,0,0,10.56,0,3.73,3.86,0,0,31.79,0,0,2.33,225.57,9.3,13.79,5.82,0,0,6.9,0,0,0,0,0,0,0,0,0,0
