stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,0.88,0.99,4.52,0,0,1.08,0.9,0
 24-34,0,0,0,0,0,0,0,0.59,0,4.74,0.74,0,1.03,1.18,2
 36-46,0,2.2,0.8,0,4.05,0,0,4.69,1.53,20.34,0.76,1.82,6.89,2.95,0
 48-58,0,0.51,0,0,0,0,0,2.33,0,5.86,0,0,0,1.43,0.62
 60-70,0.7,0,0,0,3.17,7.26,1.56,0,0,0,0,0,0.86,0,1.12
 72-82,0,13.18,0,2.59,1.12,0,0,1.46,0,3.52,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.47,0,1.11,0,0,2.2,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,2.59,0,0
108-118,1.4,1.18,0,0,0,0,0,2.39,0,2.32,0,0,4.78,0,5.36
120,0,0,0,0,0,0,0,4.15,0,19.08,0,0,1.25,0,0
